DateTime,AddedIPs,RemovedIPs
1630258818,2,3
1630259536,6,3
1630260267,2,4
1630260980,1,2
1630261941,8,2
1630262662,4,3
1630263380,4,0
1630275129,46,40
1630275853,1,1
1630276569,2,4
1630277291,3,2
1630278005,4,3
1630278623,2,1
1630279458,5,1
1630280179,7,1
1630280900,7,13
1630281633,3,0
1630282336,2,4
1630283060,2,1
1630283777,3,1
1630284521,0,9
1630285226,2,5
1630285939,7,7
1630286661,4,0
1630287379,3,3
1630288097,9,6
1630288829,7,8
1630289783,12,21
1630290500,4,5
1630291218,9,6
1630291937,4,0
1630292665,7,10
1630293378,4,0
1630294099,3,10
1630294818,10,3
1630295539,6,8
1630296263,6,0
1630296983,3,5
1630297698,4,6
1630298423,3,3
1630299136,1,0
1630299863,2,2
1630300578,3,4
1630301296,2,2
1630302019,4,2
1630302735,2,4
1630303465,4,1
1630304201,2,1
1630304897,1,0
1630305619,1,2
1630306336,4,0
1630307064,7,4
1630307779,5,2
1630308495,2,4
1630309222,6,4
1630309942,0,4
1630310666,3,2
1630311378,2,0
1630312097,6,2
1630312818,6,0
1630313538,6,5
1630314264,6,1
1630314978,1,3
1630315696,2,6
1630316418,4,1
1630317138,5,5
1630317874,3,3
1630318579,0,2
1630319295,1,2
1630320017,4,1
1630320736,1,1
1630321471,4,0
1630322180,3,0
1630322899,3,3
1630323616,3,1
1630324340,1,2
1630325065,2,4
1630325778,4,5
1630326498,0,1
1630327219,4,2
1630327936,1,4
1630328672,3,1
1630329383,4,1
1630330096,3,2
1630330820,2,2
1630331537,5,3
1630332263,2,2
1630332982,6,5
1630333696,3,1
1630334418,2,4
1630335136,3,2
1630335866,0,3
1630336579,2,1
1630337343,5,2
1630338018,2,2
1630339468,4,4
1630340178,3,4
1630340907,7,2
1630341617,4,4
1630342336,6,0
1630343064,3,3
1630343780,6,3
1630344495,3,5
1630345224,4,10
1630345936,2,0
1630346666,4,6
1630347379,6,2
1630348097,2,8
1630348819,5,4
1630349539,1,3
1630350267,3,46
1630350978,3,0
1630351698,3,0
1630353137,3,0
1630354110,5,0
1630354817,4,0
1630355537,3,0
1630356257,4,0
1630356978,3,0
1630357696,1,0
1630358418,2,0
1630359859,4,0
1630360581,1,0
1630361539,3,5
1630362257,4,0
1630362988,2,2
1630363702,2,6
1630364435,3,4
1630365139,2,5
1630365858,1,0
1630366582,7,11
1630367300,7,0
1630368275,6,10
1630368979,1,4
1630369696,1,11
1630370419,1,0
1630371136,4,5
1630371889,11,8
1630372579,2,2
1630373300,2,5
1630374017,7,2
1630374736,4,10
1630375468,11,14
1630376183,8,5
1630376899,7,0
1630377619,10,12
1630378338,5,2
1630379063,7,0
1630379778,3,11
1630380496,3,0
1630381218,8,4
1630381935,5,2
1630382666,4,9
1630383379,7,0
1630384104,2,10
1630384818,2,0
1630385536,1,4
1630386262,1,0
1630386978,2,3
1630387697,0,1
1630388420,2,5
1630389137,5,3
1630389868,5,3
1630390576,2,0
1630391303,4,5
1630392259,4,1
1630392977,2,3
1630393939,4,5
1630394656,2,1
1630395380,1,2
1630396099,1,0
1630396816,1,4
1630397544,2,3
1630398258,3,3
1630398983,4,6
1630399703,2,5
1630400421,2,3
1630401138,1,3
1630401858,2,1
1630402580,2,2
1630403300,2,5
1630404026,1,5
1630404751,3,1
1630405456,2,0
1630406181,2,2
1630406897,5,1
1630407631,1,5
1630408338,3,2
1630409061,2,4
1630409778,2,2
1630410499,3,2
1630411227,1,6
1630411936,3,2
1630412659,1,3
1630413379,1,1
1630414098,1,4
1630414822,2,4
1630427300,45,37
1630428022,2,10
1630428740,4,5
1630429466,3,5
1630430181,1,2
1630430899,5,7
1630432335,3,4
1630433066,3,3
1630433780,6,4
1630434496,4,0
1630435217,7,5
1630435938,5,1
1630436667,3,4
1630437378,1,0
1630438342,6,5
1630439057,3,3
1630439779,2,4
1630440751,5,2
1630441459,6,2
1630442182,5,4
1630442896,1,5
1630443631,2,5
1630444337,4,2
1630445060,3,4
1630445782,6,1
1630446500,4,4
1630447225,2,5
1630447937,3,0
1630448658,1,6
1630449379,1,0
1630450100,3,3
1630450825,1,1
1630451793,2,5
1630452498,3,2
1630453220,6,8
1630453936,1,6
1630454668,1,0
1630455378,2,1
1630456100,3,7
1630456821,1,4
1630457538,2,4
1630458266,3,0
1630459005,4,10
1630459700,6,0
1630460416,6,3
1630461137,4,10
1630461865,14,0
1630462579,7,16
1630463297,2,10
1630464016,9,11
1630464738,5,5
1630465466,11,15
1630466180,3,3
1630466900,6,3
1630467622,26,9
1630468338,2,8
1630469066,6,2
1630469778,4,0
1630470502,4,7
1630471219,2,5
1630471939,4,4
1630472665,5,2
1630473378,3,2
1630474100,3,1
1630474820,2,0
1630475539,7,5
1630476268,1,0
1630476977,4,4
1630477698,2,0
1630478418,0,3
1630479381,7,8
1630481059,3,0
1630481781,4,1
1630482499,6,0
1630483224,7,9
1630483936,1,0
1630484662,2,4
1630485381,5,0
1630486103,2,0
1630486823,4,2
1630487536,2,0
1630488258,4,5
1630488978,2,0
1630489701,2,1
1630490431,4,2
1630491856,2,7
1630492581,2,7
1630493298,3,0
1630494030,3,1
1630494738,4,3
1630495459,4,3
1630496180,2,2
1630496897,3,0
1630497629,9,2
1630498344,4,0
1630499058,2,0
1630499781,1,2
1630500500,4,1
1630501227,5,39
1630501938,8,0
1630502669,2,0
1630503384,3,0
1630504097,2,0
1630504821,6,0
1630505537,4,0
1630506263,3,0
1630506993,4,0
1630507701,5,0
1630508429,5,0
1630509138,5,0
1630510580,3,0
1630511300,1,0
1630512027,5,0
1630512739,3,0
1630513457,3,0
1630514184,1,2
1630514897,9,3
1630515628,3,0
1630516337,3,4
1630517062,5,5
1630517780,6,3
1630518499,2,4
1630519224,1,3
1630519938,6,6
1630520659,2,5
1630521381,2,5
1630522102,4,4
1630522831,3,2
1630523539,3,4
1630524261,2,5
1630524989,3,1
1630525705,5,2
1630526436,3,3
1630527396,6,7
1630528350,5,5
1630529065,2,4
1630529814,1,5
1630530502,3,4
1630531218,1,2
1630532183,1,9
1630532897,2,0
1630533631,1,5
1630534336,3,0
1630535060,4,5
1630535779,2,0
1630536501,2,3
1630537235,4,5
1630538180,3,0
1630538895,6,6
1630539621,5,7
1630540338,4,6
1630541067,6,0
1630541778,4,0
1630542497,3,4
1630543216,3,4
1630543940,5,4
1630544665,5,0
1630545383,9,5
1630546116,5,12
1630546817,4,6
1630547536,6,0
1630548268,7,16
1630549226,9,6
1630549936,11,6
1630550658,8,4
1630551377,5,2
1630552095,6,8
1630552821,7,5
1630553536,21,4
1630554258,5,10
1630554981,5,11
1630555939,4,4
1630556657,3,6
1630557381,3,3
1630558097,0,2
1630558831,2,1
1630559783,5,9
1630560497,2,0
1630561221,2,3
1630561936,2,0
1630562665,2,5
1630563378,4,2
1630564824,1,9
1630565780,4,0
1630566498,2,5
1630567217,7,10
1630567937,4,6
1630568661,6,6
1630569377,3,3
1630570100,1,3
1630570817,3,1
1630571538,1,3
1630572257,5,1
1630572980,2,2
1630573708,1,4
1630574417,3,5
1630575135,7,2
1630575859,6,2
1630576578,4,1
1630577541,3,5
1630578258,2,1
1630578983,1,9
1630579698,5,0
1630580420,4,3
1630581139,3,8
1630581860,1,2
1630582579,7,0
1630583304,0,4
1630584019,2,0
1630584741,3,2
1630585460,3,3
1630586179,1,0
1630586900,5,2
1630587617,1,2
1630588341,0,5
1630589057,7,0
1630589781,1,1
1630590740,4,2
1630591465,3,2
1630592180,2,3
1630592899,2,0
1630593618,2,5
1630594336,3,3
1630595066,3,3
1630595782,2,5
1630607069,27,52
1630608022,5,2
1630608745,2,4
1630609469,1,2
1630610178,5,2
1630610897,2,3
1630611617,2,3
1630612336,8,6
1630613070,4,2
1630614502,8,3
1630615223,2,5
1630615937,5,3
1630616663,2,5
1630617380,1,1
1630618107,3,6
1630618818,3,6
1630619536,5,6
1630620270,4,1
1630620977,1,2
1630621695,1,4
1630622417,1,0
1630623137,6,3
1630623865,1,5
1630624577,2,0
1630625301,10,9
1630626016,5,0
1630626740,2,9
1630627466,2,0
1630628180,3,18
1630628898,1,0
1630629619,3,8
1630630337,6,0
1630631066,7,13
1630631778,5,0
1630632497,4,6
1630633237,5,18
1630633938,8,6
1630634665,11,0
1630635624,8,8
1630636338,12,19
1630637059,5,2
1630637776,4,0
1630638742,9,13
1630639459,5,4
1630640184,4,20
1630640900,10,7
1630641629,3,7
1630642579,2,6
1630643300,6,3
1630644021,8,6
1630644736,4,3
1630645463,1,5
1630646186,4,3
1630646899,4,0
1630647618,2,0
1630648337,2,10
1630649066,3,6
1630649785,1,2
1630650498,3,1
1630651223,3,0
1630651936,2,6
1630652667,2,2
1630653376,3,5
1630654099,4,0
1630654828,3,2
1630655540,6,5
1630656265,3,1
1630656978,0,2
1630657944,3,7
1630658657,2,0
1630659383,2,5
1630660096,3,0
1630660821,2,5
1630661536,1,0
1630662259,4,4
1630662978,2,3
1630663941,5,7
1630664659,6,4
