DateTime,AddedIPs,RemovedIPs
1630125368,2,2
1630126566,3,2
1630127707,7,2
1630128246,1,0
1630129686,3,4
1630130827,2,2
1630132567,12,2
1630132926,0,2
1630134126,4,1
1630135087,5,0
1630135807,3,5
1630136167,1,0
1630138326,7,5
1630139049,2,0
1630139411,1,10
1630141565,4,9
1630143007,2,8
1630145527,7,10
1630146247,1,0
1630147325,5,5
1630148047,2,0
1630148766,0,7
1630150209,0,3
1630151346,6,3
1630152366,0,3
1630153086,1,0
1630154167,4,9
1630155965,1,8
1630156688,1,1
1630157414,1,10
1630158126,1,0
1630159567,3,8
1630160286,0,1
1630161008,4,11
1630161365,2,0
1630162447,10,7
1630164610,14,14
1630165326,1,1
1630167127,13,6
1630168209,6,10
1630168928,5,3
1630169286,1,1
1630170428,8,8
1630171086,4,0
1630171808,2,23
1630172946,8,4
1630173966,6,22
1630174688,6,1
1630175414,6,7
1630175769,2,2
1630177215,11,4
1630179008,12,8
1630179726,4,1
1630180445,7,1
1630181167,9,5
1630183386,16,11
1630184047,7,0
1630184767,8,4
1630185126,1,0
1630185847,2,0
1630186927,6,5
1630188127,7,1
1630189085,5,0
1630189808,69,6
1630190527,11,0
1630190887,0,8
1630192686,1,27
1630193408,2,9
1630194127,1,4
1630194846,1,3
1630195567,2,5
1630197365,5,5
1630199166,3,5
1630199525,41,0
1630200248,10,15
1630201326,1,14
1630202046,2,3
1630202768,1,15
1630203486,0,2
1630203845,1,0
1630204929,2,26
1630206369,4,6
1630207088,5,0
1630208586,3,12
1630210327,5,2
1630211045,3,0
1630211766,1,7
1630212127,1,0
1630213568,3,4
1630214706,1,0
1630215726,1,6
1630216447,2,0
1630217885,2,4
1630218608,0,8
1630219326,2,3
1630221125,11,11
1630221847,3,0
1630222210,1,9
1630223350,5,2
1630224365,2,3
1630225809,4,14
1630227245,3,1
1630227967,1,11
1630228687,2,0
1630229409,4,19
1630230486,2,3
1630232286,12,12
1630232645,2,0
1630234446,3,11
1630235165,1,9
1630236245,2,0
1630237336,0,12
1630238048,3,0
1630238766,1,6
1630240565,5,4
1630241288,2,2
1630243086,2,5
1630244886,1,3
1630245967,2,8
1630246686,2,0
1630248486,5,5
1630250285,89,6
1630251010,1,19
1630252816,4,21
1630253887,2,2
1630254247,0,1
1630255326,4,15
1630257126,7,4
1630257845,12,2
1630259285,8,7
1630260366,9,3
1630261810,11,2
1630262526,1,3
1630275547,68,42
1630276213,1,4
1630276572,1,1
1630277694,3,0
1630278787,1,7
1630279810,2,6
1630280526,2,1
1630280886,2,0
1630282027,5,3
1630283409,4,7
1630284127,3,8
1630286286,70,5
1630287726,6,16
1630288446,3,8
1630289585,3,35
1630290609,2,9
1630291327,3,2
1630292048,1,0
1630293854,11,6
1630294573,1,8
1630294929,2,0
1630295646,1,1
1630296367,2,9
1630297504,3,1
1630298645,7,11
1630299247,1,0
1630299968,3,3
1630300686,1,0
1630301409,1,11
1630302126,2,5
1630302845,2,0
1630303565,0,5
1630304286,2,0
1630305007,5,9
1630305366,2,0
1630307169,8,4
1630307886,4,0
1630308247,3,0
1630308966,1,8
1630309690,2,4
1630311125,4,9
1630312577,3,3
1630313285,5,1
1630315086,10,8
1630315808,0,9
1630316166,1,0
1630316886,3,0
1630317618,1,8
1630319410,10,1
1630320126,5,6
1630321566,8,3
1630322288,2,0
1630324089,15,6
1630325525,12,4
1630326245,3,0
1630326608,1,2
1630327687,4,0
1630328825,1,1
1630330574,8,10
1630330927,6,1
1630332725,2,8
1630334527,6,17
1630336325,4,6
1630337046,35,1
1630337764,33,12
1630338486,14,11
1630338845,5,5
1630339567,17,16
1630340285,8,6
1630341008,8,8
1630341727,12,3
1630343166,18,10
1630343887,9,2
1630344246,2,1
1630346046,17,20
1630347126,6,8
1630348267,11,7
1630348925,6,2
1630349286,4,1
1630350428,8,14
1630351565,9,0
1630351809,1,6
1630354026,17,12
1630354685,7,0
1630355768,3,8
1630356484,6,1
1630356846,1,1
1630358646,4,7
1630359365,4,21
1630359728,0,1
1630360926,5,0
1630362251,3,0
1630364046,4,7
1630364768,1,2
1630365486,0,1
1630366208,0,5
1630366926,4,4
1630368425,2,5
1630369565,2,0
1630370526,3,18
1630372385,2,4
1630373409,6,2
1630375219,4,17
1630375926,4,0
1630376647,1,1
1630377010,1,6
1630377726,1,1
1630378446,1,1
1630379166,2,3
1630379887,1,0
1630382048,3,11
1630382767,3,2
1630383845,4,0
1630384210,0,2
1630384928,2,0
1630385645,3,0
1630386365,1,8
1630386727,1,0
1630387447,2,0
1630388165,2,4
1630388887,1,2
1630390326,4,3
1630391410,7,13
1630392486,5,4
1630393927,20,5
1630395007,27,2
1630396446,11,9
1630397167,3,2
1630397886,8,2
1630398614,5,5
1630400045,1,3
1630400765,1,6
1630401486,0,4
1630402208,4,9
1630402926,2,0
1630403645,1,1
1630404724,3,2
1630405446,5,0
1630406526,2,3
1630407246,3,0
1630407965,2,3
1630409046,1,1
1630410244,1,5
1630411927,4,0
1630414445,3,2
1630428127,62,86
1630429926,5,12
1630430644,2,0
1630431008,0,9
1630431725,1,2
1630432447,8,0
1630433166,2,4
1630433887,1,1
1630435687,4,4
1630436045,2,0
1630438210,2,16
1630438926,0,4
1630440428,3,2
1630441086,3,0
1630441446,3,0
1630442646,4,9
1630443787,6,5
1630443967,2,1
1630445409,4,6
1630447220,5,1
1630448652,2,0
1630449727,3,5
1630451526,3,5
1630452246,4,0
1630452609,2,5
1630454047,0,5
1630455847,5,4
1630456566,1,15
1630456925,2,26
1630457647,1,1
1630458365,0,7
1630460165,2,4
1630461246,1,5
1630462326,1,2
1630462686,1,0
1630463410,4,12
1630464127,3,2
1630465928,3,7
1630466650,4,0
1630467371,2,8
1630468086,2,3
1630470247,4,3
1630470966,5,2
1630471686,2,0
1630473486,3,8
1630475286,4,11
1630477446,5,8
1630479247,4,10
1630479966,3,5
1630480327,1,0
1630481408,3,5
1630482485,3,3
1630484286,5,8
1630485023,3,7
1630485370,2,0
1630486085,3,0
1630487525,2,7
1630488609,8,6
1630489326,7,7
1630489688,13,0
1630491485,17,8
1630491845,4,0
1630492926,1,13
1630493645,1,0
1630494366,1,6
1630496586,5,4
1630497246,3,0
1630497965,1,2
1630499408,6,3
1630500128,5,2
1630502286,9,8
1630504085,7,5
1630505166,0,3
1630506307,4,0
1630507446,5,5
1630508045,3,0
1630508767,4,37
1630509485,107,0
