DateTime,AddedIPs,RemovedIPs
1628408167,0,1
1628411052,2,0
1628412128,0,1
1628424486,0,2
1628426947,1,0
1628437328,0,4
1628454249,1,0
1628456766,0,1
1628459288,1,1
1628460369,0,1
1628462168,0,1
1628465409,0,3
1628472612,0,3
1628481968,1,0
1628489887,1,0
1628492047,1,0
1628494926,1,0
1628498168,0,2
1628500327,2,0
1628509330,1,0
1628512208,3,0
1628514728,2,0
1628522286,0,1
1628523014,1,0
1628526967,1,0
1628531047,2,0
1628532368,1,0
1628541728,0,1
1628544610,0,1
1628547127,1,0
1628558290,1,0
1628560087,2,0
1628565852,15,0
1628571967,1,0
1628580968,0,2
1628581689,1,0
1628584569,1,0
1628587087,2,0
1628588167,1,0
1628591767,1,0
1628597168,0,1
1628600768,1,0
1628603767,1,0
1628604909,1,0
1628607246,0,1
1628611927,1,0
1628612288,1,0
1628614088,0,1
1628616249,2,0
1628617687,3,0
1628619129,2,0
1628619851,1,0
1628620928,1,0
1628622368,1,0
1628624641,1,0
1628626688,1,0
1628628129,0,1
1628631729,0,1
1628635328,1,0
1628640368,1,0
1628642167,3,0
1628644326,1,0
1628647326,1,0
1628648289,1,0
1628649012,2,0
1628655127,1,0
1628661968,0,1
1628668819,0,1
1628670247,1,0
1628670967,0,1
1628671329,1,0
1628678167,0,1
1628681769,0,3
1628685011,0,2
1628692567,0,1
1628696168,0,4
1628699410,0,1
1628699769,1,0
1628703730,0,1
1628705167,1,0
1628710927,1,0
1628713087,1,0
1628715247,1,0
1628715969,0,1
1628717410,1,0
1628721017,1,0
1628728566,0,3
1628731089,1,0
1628733248,2,0
1628735412,0,15
1628742248,1,0
1628745128,1,0
1628750887,1,0
1628752688,1,1
1628753768,0,1
1628755928,0,1
1628757011,0,1
1628758087,0,1
1628759228,1,0
1628760970,0,1
1628765647,1,0
1628771412,0,1
1628772847,1,0
1628774653,0,1
1628777527,0,1
1628780767,0,1
1628782927,0,2
1628786168,0,4
1628787967,0,2
1628790129,0,1
1628791927,2,2
1628795167,0,1
1628806687,0,1
1628809567,0,1
1628811011,0,3
1628811728,1,0
1628814611,0,1
1628817489,0,1
1628818210,0,2
1628818929,0,1
1628822888,1,0
1628824328,0,1
1628831527,1,0
1628840527,0,1
1628842688,0,1
1628845568,1,0
1628867527,3,0
1628869687,0,1
1628874728,0,1
1628876889,1,0
1628882287,0,1
1628883368,0,1
1628886248,0,1
1628887688,0,1
1628889488,1,0
1628890927,0,1
1628899927,1,0
1628901728,1,1
1628903527,9,2
1628907127,2,0
1628911815,1,1
1628916248,0,1
1628917926,1,0
1628919728,0,1
1628930527,0,1
1628943128,0,1
1628944928,2,0
1628952129,1,0
1628954291,18,0
1628956087,0,2
1628957531,1,0
1628960767,0,2
1628961490,1,0
1628982726,0,1
1628993174,0,1
1629002528,0,1
1629003967,1,0
1629007927,1,0
1629017287,1,1
1629019088,1,0
1629019809,1,0
1629029168,2,0
1629037086,0,2
1629037809,0,1
1629042129,1,0
1629046448,2,0
1629047168,0,1
1629053288,1,0
1629060127,0,1
1629064448,1,0
1629068766,0,1
1629072727,0,10
1629075620,0,2
1629078489,1,0
1629080288,1,1
1629081011,0,1
1629087488,1,0
1629088211,0,1
1629106209,1,0
1629112686,1,0
1629115568,0,2
1629120614,0,1
1629123487,1,0
1629124210,0,18
1629124928,1,0
1629127808,0,1
1629131410,0,1
1629134288,1,0
1629148689,1,0
1629150128,1,0
1629159128,5,0
1629160211,1,0
1629165967,1,0
1629173168,1,1
1629177489,0,1
1629189369,0,2
