DateTime,AddedIPs,RemovedIPs
1630123570,2,11
1630123929,2,2
1630125014,2,4
1630125370,2,2
1630126569,3,2
1630127711,7,2
1630128249,1,0
1630129689,3,4
1630130830,2,2
1630132570,12,2
1630132929,0,2
1630134129,4,1
1630135089,5,0
1630135810,3,5
1630136171,1,0
1630138329,7,5
1630139413,1,8
1630141568,3,9
1630143010,2,7
1630145529,7,10
1630146249,1,0
1630147328,5,5
1630148049,2,0
1630148769,0,6
1630150212,0,3
1630151349,6,3
1630152368,0,3
1630153089,1,0
1630154170,4,9
1630155968,1,7
1630156692,1,1
1630157417,1,10
1630158129,1,0
1630159570,3,8
1630160288,0,1
1630161013,5,11
1630161369,1,7
1630162450,10,0
1630164614,14,14
1630165330,1,1
1630167129,13,6
1630168212,7,8
1630168931,4,3
1630169288,1,1
1630170431,8,7
1630171089,4,0
1630171810,2,23
1630172949,8,4
1630173968,6,22
1630174690,6,1
1630175417,6,7
1630175773,2,2
1630177218,11,4
1630179011,12,8
1630179730,4,1
1630180448,5,1
1630181171,9,4
1630183388,16,11
1630184049,7,0
1630184770,8,4
1630185129,1,0
1630185849,2,0
1630186930,6,5
1630188132,6,1
1630189088,5,0
1630189811,68,6
1630190532,12,0
1630190890,0,8
1630192688,1,26
1630193411,2,9
1630194130,1,3
1630194849,1,3
1630195570,2,5
1630197369,5,5
1630199169,3,5
1630199528,41,0
1630200250,10,15
1630201329,1,14
1630202048,2,3
1630202772,1,15
1630203489,0,2
1630203848,2,0
1630204931,2,26
1630206371,4,6
1630207092,4,0
1630208588,2,12
1630210329,5,2
1630211048,3,0
1630211770,1,7
1630212130,2,0
1630213570,2,4
1630214710,1,0
1630215730,1,6
1630216449,2,0
1630217887,2,4
1630218610,0,8
1630219330,2,3
1630221128,11,9
1630221849,3,0
1630222213,1,9
1630223353,4,2
1630224369,2,3
1630225812,2,14
1630227248,3,1
1630227969,1,11
1630228689,2,0
1630229412,4,19
1630229769,0,3
1630230488,2,0
1630232289,11,12
1630232648,2,0
1630234449,3,11
1630235167,1,9
1630236247,2,0
1630237339,0,12
1630238051,3,0
1630238769,1,5
1630240569,4,6
1630241291,2,0
1630243090,2,5
1630244889,1,3
1630245969,2,8
1630246689,2,0
1630248489,4,5
1630250288,88,6
1630251013,1,19
1630252822,4,21
1630253889,2,2
1630254249,0,1
1630255329,4,15
1630257129,6,4
