DateTime,AddedIPs,RemovedIPs
1630158127,5,2
1630159569,7,15
1630160287,10,2
1630161009,5,10
1630161366,4,0
1630162448,4,6
1630164611,12,32
1630165327,7,1
1630167127,19,6
1630168210,5,9
1630168929,6,5
1630169287,4,0
1630170429,9,11
1630171087,7,0
1630171809,4,22
1630172948,16,5
1630173967,9,8
1630174688,8,2
1630175415,6,22
1630175771,3,3
1630177216,8,19
1630179009,24,36
1630179728,10,10
1630180446,9,1
1630181169,10,17
1630183387,27,26
1630184048,8,1
1630184768,4,5
1630185127,2,1
1630185847,8,1
1630186928,10,16
1630188129,15,20
1630189087,9,1
1630189810,10,45
1630190530,7,9
1630190888,11,0
1630192687,33,12
1630193409,7,18
1630194128,12,4
1630194847,10,0
1630195568,6,14
1630197366,22,13
1630199167,14,26
1630199526,3,25
1630200249,25,1
1630201327,14,49
1630202047,8,1
1630202769,12,19
1630203487,11,0
1630203846,6,0
1630204929,18,20
1630206370,16,13
1630207090,8,0
1630207455,3,0
1630208586,17,22
1630210328,18,30
1630211047,7,0
1630211767,7,21
1630212128,6,7
1630213569,20,17
1630214708,10,4
1630215728,10,20
1630216448,4,2
1630217886,13,19
1630218609,11,15
1630219327,8,3
1630221126,13,16
1630221847,6,0
1630222211,5,13
1630223351,8,3
1630224367,6,31
1630225810,25,17
1630227246,18,8
1630227967,9,11
1630228688,10,2
1630229410,7,22
1630229766,7,1
1630230486,5,5
1630232287,20,22
1630232646,7,2
1630234447,24,21
1630235166,16,12
1630235526,2,2
1630236246,4,2
1630237337,11,32
1630238049,9,0
1630238767,7,14
1630240566,22,20
1630241289,10,7
1630241647,3,1
1630243088,11,16
1630244887,22,28
1630245247,3,0
1630245968,7,22
1630246687,9,1
1630248487,22,21
1630250286,14,37
1630251011,9,21
1630252818,26,28
1630253888,11,2
1630254247,4,0
1630255327,15,18
1630257127,22,14
1630257845,5,1
1630259286,13,30
1630260367,18,21
1630261812,15,18
1630262528,10,3
1630275548,133,95
1630276214,4,18
1630276573,1,0
1630277695,10,2
1630278788,8,14
1630279811,10,16
1630280527,7,7
1630280888,1,1
1630282028,7,23
1630283410,15,18
1630284128,3,6
1630284847,5,1
1630286287,9,42
1630287728,23,26
1630288447,11,1
1630289585,12,30
1630290611,4,21
1630291328,12,6
1630292049,5,3
1630293855,25,12
1630294574,12,12
1630294930,10,2
1630295646,4,0
1630296367,12,20
1630297505,5,0
1630298645,17,42
1630299248,7,0
1630299969,11,12
1630300687,8,3
1630301411,8,18
1630302127,4,4
1630302846,3,2
1630303566,9,18
1630304288,5,0
1630305007,3,14
1630305367,7,1
1630307171,12,24
1630307887,2,1
1630308248,7,1
1630308967,10,18
1630309691,8,5
1630311126,18,18
1630312579,18,17
1630313287,10,2
1630315087,14,15
1630315810,7,24
1630316168,3,0
1630316887,7,4
1630317621,4,9
1630319410,8,9
1630320128,12,8
1630321567,27,6
1630322289,7,0
1630324090,12,14
1630325526,15,10
1630326247,3,0
1630326609,4,14
1630327688,10,2
1630328826,13,8
1630330575,6,13
1630330928,3,3
1630332726,14,7
1630334528,17,10
1630336326,12,16
1630337047,3,22
1630337765,9,24
1630338487,18,1
1630338846,8,1
1630339567,13,13
1630340286,9,1
1630341009,7,9
1630341728,5,3
1630343167,11,22
1630343888,13,2
1630344247,1,0
1630346047,19,22
1630347128,7,7
1630348269,11,18
1630348926,5,7
1630349287,5,0
1630350429,9,12
1630351567,6,2
1630351810,5,22
1630354026,12,18
1630354687,6,0
1630355771,15,24
1630356486,11,1
1630356848,3,1
1630358648,9,16
1630359366,3,18
1630359728,4,8
1630360928,9,12
1630361527,3,3
1630362252,1,1
1630364048,14,20
1630364769,11,18
1630365487,9,6
1630366209,11,15
1630366926,7,7
1630367287,4,1
1630368426,22,9
1630369566,13,1
1630370526,11,27
1630371248,9,1
1630372387,7,13
1630373410,12,28
1630375221,28,19
1630375927,18,2
1630376648,12,0
1630377011,2,23
1630377727,18,9
1630378447,10,0
1630379167,11,14
1630379889,10,1
1630380253,5,0
1630382049,24,25
1630382768,10,19
1630384212,12,15
1630384929,7,4
1630385646,2,1
1630386366,4,10
1630386729,1,0
1630387448,11,0
1630388166,10,19
1630388888,3,9
1630389247,2,0
1630390327,14,11
1630391411,6,12
1630392487,13,6
1630393928,29,13
1630395008,23,16
1630396447,30,10
1630397168,15,18
1630397887,14,1
1630398615,11,21
1630400046,26,6
1630400767,27,9
1630401487,24,1
1630402209,20,20
1630402928,31,9
1630403646,20,1
1630404725,27,20
1630405447,17,0
1630406527,34,19
1630407247,13,2
1630407966,10,15
1630409048,26,0
1630410246,30,29
1630411928,34,14
1630412286,6,2
1630414446,47,23
1630428127,234,137
1630429927,30,20
1630430645,10,0
1630431008,8,18
1630431726,9,9
1630432449,13,0
1630433167,13,22
1630433888,12,2
1630435688,52,25
1630436045,8,1
1630438211,46,45
1630438927,12,10
1630439290,6,1
1630440430,39,13
1630441087,12,2
1630441447,5,1
1630442647,39,17
1630443788,30,14
1630443967,1,0
1630445411,26,8
1630447222,32,15
1630447928,26,0
1630448653,20,0
1630449728,15,17
1630451526,47,14
1630452247,17,2
1630452610,9,12
1630454047,32,12
1630455848,40,13
1630456567,16,13
1630456926,17,4
1630457648,25,4
1630458367,26,15
1630458728,3,0
1630460166,40,11
1630461247,22,7
1630462327,31,12
1630462687,11,0
1630463411,18,24
1630464129,12,5
1630464488,16,5
1630465928,31,20
1630466651,20,0
1630467372,10,15
1630468087,18,6
1630468446,3,1
1630470248,38,21
1630470967,20,17
1630471687,13,2
1630472047,8,1
1630473487,22,14
1630475287,45,15
1630475647,11,2
1630477447,41,6
1630479247,37,25
1630479967,10,19
1630480328,9,1
1630481410,27,19
1630481769,9,2
1630482486,21,9
1630484287,42,20
1630485024,15,10
1630485371,6,0
1630486086,9,1
1630487526,29,14
1630488610,29,10
1630489327,16,12
1630489689,15,7
1630491487,31,24
1630491846,14,3
1630492927,15,17
1630493646,19,0
1630494367,15,14
1630496586,33,21
1630497246,10,1
1630497966,9,14
1630498327,5,1
1630499409,18,10
1630500129,9,3
1630502287,27,14
1630504087,19,22
1630505167,13,8
1630506308,12,1
1630507447,15,18
1630508045,14,1
1630508768,11,22
1630509486,14,29
1630510211,15,15
1630510928,11,5
1630511287,1,0
1630513086,37,7
1630514528,29,18
1630516327,21,9
1630517467,17,17
1630517767,11,0
1630519568,93,14
1630520287,11,0
1630521017,160,16
1630521727,20,5
1630522447,19,0
1630523168,16,7
1630523886,18,4
1630524610,13,21
1630525329,14,8
1630526045,18,2
1630527128,22,8
1630528211,13,10
1630528568,7,1
1630529767,27,4
1630530727,17,11
1630533787,55,20
1630534326,6,3
1630535418,22,21
1630536134,7,3
1630536847,16,0
1630537988,18,21
1630539368,26,23
1630540086,21,5
1630540447,14,1
1630541168,24,11
1630541887,13,2
1630543687,36,27
1630544047,6,0
1630545127,29,26
1630546212,27,23
1630547289,25,15
1630548366,30,19
1630549448,24,2
1630550168,9,21
1630550527,8,6
1630551727,20,23
1630552686,24,1
1630553766,20,18
1630554847,23,7
1630556285,20,4
1630557726,30,19
1630559526,52,12
1630560248,15,0
1630560611,9,17
1630561327,13,10
1630562048,19,1
1630562768,13,25
1630564211,16,40
1630564928,14,5
1630565647,16,1
1630566726,21,22
1630567087,9,1
1630568527,29,34
1630569248,14,0
1630569966,21,24
1630570687,8,2
1630571413,11,47
1630571771,8,0
1630572845,24,10
1630574286,24,36
1630575010,10,31
1630576207,23,19
1630577168,23,20
1630577888,13,1
1630578247,13,0
1630578968,12,30
1630579686,23,5
1630580046,16,0
1630580767,15,24
1630581127,8,2
1630582211,26,28
1630582566,5,1
1630583648,17,13
1630584367,17,19
1630585086,8,2
1630586889,25,27
1630587616,19,26
1630588326,6,2
1630590130,39,31
1630591926,29,16
1630592286,4,0
1630593010,16,31
1630593728,11,6
1630594447,20,1
1630607769,273,195
1630608488,24,7
1630610286,24,44
1630611009,9,26
1630611726,15,20
1630612822,16,24
1630613527,12,0
1630614247,14,6
1630614968,14,30
1630616046,20,9
1630617127,18,21
1630618212,15,49
1630619346,27,8
1630620486,34,32
1630621087,16,0
1630621815,15,30
1630622528,9,8
1630623246,9,1
1630624687,23,26
1630625408,19,30
1630626126,13,17
1630626848,11,2
1630628647,25,44
1630629010,11,29
1630630447,26,16
1630631168,21,25
1630631886,15,1
1630632246,6,3
1630633446,19,54
1630634586,26,29
1630635487,11,0
1630637286,29,38
1630637648,9,1
1630638367,17,25
1630639086,12,1
1630639815,13,28
1630640528,12,22
1630640887,6,1
1630642686,38,21
1630643047,3,2
1630644847,19,29
1630645567,21,35
1630647009,21,35
1630647727,12,9
1630648446,3,3
1630648817,8,25
1630649527,8,0
1630650246,4,0
1630650611,6,31
1630651329,10,11
1630652046,16,2
1630652768,10,34
1630653486,8,0
1630653847,3,0
1630655648,23,40
1630657450,21,21
1630658886,23,42
1630660686,24,31
1630661408,19,41
1630662127,3,22
1630662848,10,4
1630663566,7,27
