DateTime,AddedIPs,RemovedIPs
1630141564,67,55
1630142285,26,1
1630143005,22,46
1630143727,21,0
1630145525,55,62
1630146245,30,2
1630147324,33,54
1630148045,21,6
1630148765,20,31
1630149485,21,8
1630150207,15,44
1630151345,29,9
1630152365,24,33
1630153085,25,6
1630154165,27,54
1630156686,79,66
1630157413,24,55
1630158124,14,9
1630159566,31,39
1630160285,22,3
1630161364,24,38
1630162446,21,11
1630164609,44,70
1630165325,12,15
1630167125,43,85
1630168207,23,50
1630169284,28,33
1630170426,26,23
1630171085,14,0
1630171806,13,32
1630172945,30,13
1630173964,30,34
1630174685,17,9
1630175412,14,46
1630175768,7,2
1630177212,38,39
1630179006,44,42
1630179725,13,12
1630180444,15,3
1630181166,15,28
1630183384,41,67
1630184045,15,4
1630185124,14,26
1630185845,16,4
1630186926,31,38
1630188125,37,31
1630189084,29,0
1630189807,14,1307
1630190526,15,2778
1630190885,10,1
1630192684,44,573
1630193406,15,49
1630194125,18,17
1630194845,13,2
1630195565,21,39
1630197364,51,42
1630199165,35,52
1630199524,10,15
1630200245,13,8
1630201324,36,80
1630202045,15,0
1630202767,17,45
1630203844,22,9
1630204927,30,69
1630206366,34,40
1630207086,22,2
1630207450,11,0
1630208584,28,59
1630210326,31,52
1630211044,16,2
1630211764,8,51
1630212126,5,20
1630213567,24,37
1630214705,28,7
1630215725,22,85
1630216445,24,2
1630217884,35,65
1630219325,45,68
1630221124,52,75
1630221845,10,2
1630222209,7,49
1630223348,26,21
1630224364,28,55
1630225808,67,68
1630227244,33,27
1630227965,17,39
1630228685,7,7
1630229408,19,59
1630229764,12,2
1630230485,12,16
1630232285,50,51
1630232644,14,5
1630234445,40,76
1630235164,21,46
1630236607,37,46
1630237334,11,15
1630238046,22,1
1630238764,15,50
1630239844,26,3
1630240564,32,59
1630241286,24,24
1630241644,4,0
1630243084,43,56
1630244885,50,73
1630245245,13,0
1630245965,32,55
1630246685,19,4
1630248132,45,83
1630248485,8,2
1630250284,48,53
1630251008,30,33
1630252814,47,41
1630253885,23,4
1630254245,7,5
1630255324,23,57
1630257125,59,42
1630257843,21,2
1630259284,31,50
1630260365,17,54
1630261807,32,46
1630262524,16,14
1630275546,228,314
1630276211,14,47
1630276569,13,2
1630277692,25,9
1630278785,25,37
1630279809,22,44
1630280525,18,6
1630280885,4,0
1630282025,19,35
1630283408,54,41
1630284125,50,20
1630284845,31,0
1630286284,66,47
1630287725,71,110
1630288444,33,1
1630289583,50,351
1630289884,3,4
1630290608,16,55
1630291326,18,20
1630292046,19,2
1630293851,34,36
1630294570,15,56
1630294928,12,15
1630295644,23,4
1630296365,33,51
1630297503,43,2
1630298643,37,75
1630299245,17,2
1630299965,13,50
1630300684,25,3
1630301408,31,66
1630302124,15,9
1630302844,16,1
1630303564,19,45
1630304285,30,4
1630305364,38,65
1630307168,55,51
1630307885,17,9
1630308245,18,0
1630308965,24,86
1630309688,34,14
1630311124,68,64
1630312575,45,74
1630313284,18,5
1630315085,59,56
1630315806,23,53
1630316164,13,0
1630316885,25,9
1630317616,23,43
1630319408,43,59
1630320124,20,53
1630321565,37,46
1630322287,22,5
1630324088,51,52
1630325524,47,45
1630326244,34,1
1630326606,14,55
1630327684,38,8
1630328824,31,50
1630330570,52,36
1630330925,8,16
1630332724,47,31
1630334525,50,45
1630336324,35,31
1630337763,78,48
1630338485,33,17
1630338844,10,2
1630339565,11,25
1630340284,19,2
1630341007,26,27
1630341725,29,2
1630343164,40,33
1630344244,39,7
1630346044,46,41
1630347124,25,41
1630348923,57,49
1630349284,5,1
1630350426,44,38
1630351564,49,1
1630351807,8,29
1630352884,36,9
1630354024,54,25
1630354684,16,0
1630355766,23,24
1630356483,12,8
1630356845,11,0
1630358645,42,49
1630359364,24,41
1630359726,11,15
1630360924,25,23
1630361524,12,2
1630362249,15,0
1630364044,45,41
1630365485,35,23
1630366206,9,35
1630366924,11,15
1630367284,6,0
1630368424,22,27
1630369564,29,5
1630370525,23,46
1630371246,22,2
1630372384,30,33
1630373407,27,36
1630375216,41,36
1630375925,18,4
1630376646,24,0
1630377007,6,32
1630377725,23,9
1630378445,27,2
1630379165,21,27
1630380249,38,4
1630382046,34,44
1630382766,21,15
1630383844,28,6
1630384208,11,33
1630384926,29,6
1630385644,16,6
1630386364,18,40
1630386725,9,5
1630387445,25,1
1630388164,25,51
1630388885,26,23
1630389244,11,4
1630390325,27,42
1630391408,35,34
1630392484,68,18
1630393926,40,31
1630395006,41,48
1630396444,47,52
1630397166,24,34
1630397884,19,8
1630398612,27,32
1630400044,63,7
1630400764,24,26
1630401485,32,0
1630402206,24,47
1630402925,21,14
1630403644,28,0
1630404723,32,27
1630405445,30,0
1630406525,55,45
1630407244,23,7
1630407964,30,29
1630410243,74,80
1630411926,43,42
1630412284,8,0
1630414444,66,67
1630426685,319,307
1630427823,36,47
1630428125,11,2
1630429924,39,31
1630430643,12,3
1630431006,6,27
1630431723,13,20
1630432446,16,1
1630433165,11,28
1630433885,20,4
1630435685,46,37
1630436043,12,0
1630438208,62,83
1630438925,22,15
1630439288,9,1
1630441085,33,31
1630441444,5,2
1630442644,25,35
1630443785,51,14
1630443965,5,0
1630445407,32,32
1630447217,43,31
1630447925,9,4
1630448649,21,10
1630449725,20,47
1630451523,41,35
1630452245,15,2
1630452607,12,76
1630454044,40,67
1630455845,39,90
1630456565,15,138
1630456924,13,21
1630457645,17,2
1630458364,26,98
1630458725,6,1
1630460164,47,87
1630462685,71,46
1630464125,44,49
1630464485,6,0
1630467011,89,107
1630467725,14,20
1630468444,11,0
1630470246,53,37
1630470965,25,54
1630471684,19,6
1630472044,16,2
1630473485,44,31
1630474926,50,90
1630475644,21,4
1630477445,71,51
1630479245,50,60
1630479965,15,71
1630480325,6,1
1630481406,35,53
1630482484,42,25
1630485367,114,101
1630486084,17,0
1630487524,52,52
1630488607,39,47
1630489324,18,14
1630489686,8,1
1630491484,48,37
1630491844,9,7
1630492925,28,70
1630493644,25,2
1630494365,24,60
1630496584,92,81
1630497244,15,10
1630497964,28,41
1630498324,15,0
1630499406,37,46
1630500127,29,28
1630502285,84,34
1630504084,62,62
1630505165,19,25
