DateTime,AddedIPs,RemovedIPs
1629532326,40,30
1629534257,32,37
1629536180,38,41
1629538099,34,32
1629540014,38,0
1629541924,35,0
1629545767,41,62
1629547926,41,38
1629549847,39,42
1629551778,40,29
1629553691,44,37
1629555849,32,31
1629557769,24,15
1629559695,35,32
1629561617,35,32
1629563524,26,21
1629565466,22,18
1629567366,26,31
1629569288,22,17
1629571220,32,33
1629575061,26,52
1629576968,36,24
1629579127,27,23
1629581056,36,17
1629582966,22,17
1629585126,26,39
1629587070,22,15
1629588979,28,30
1629590894,16,20
1629592819,26,26
1629594728,26,32
1629596647,19,28
1629598575,16,24
1629600489,13,26
1629602649,27,0
1629614404,30,150
1629616337,42,37
1629618249,38,34
1629620166,43,40
1629622100,48,34
1629624005,47,37
1629625926,34,38
1629627858,47,34
1629629766,35,41
1629631925,46,0
1629633856,36,45
1629635779,32,40
1629637686,44,42
1629639845,36,38
1629641766,35,44
1629643699,41,38
1629645607,38,20
1629647525,32,33
1629649459,38,34
1629651366,32,25
1629655225,35,54
1629657126,34,23
1629659051,23,35
1629660980,30,0
1629662889,23,32
1629668900,22,86
1629670805,24,16
1629672725,21,24
1629674656,22,30
1629676567,28,22
1629678497,17,28
1629680417,13,28
1629682325,24,20
1629684268,22,24
1629686180,27,12
1629688100,13,22
1629690011,23,26
1629691928,26,0
1629693861,29,0
1629695767,39,0
1629699628,50,0
1629701532,35,30
1629703448,33,43
1629705379,34,38
1629707285,39,42
1629709458,46,46
1629711378,48,44
1629713540,29,33
1629717610,34,86
1629719525,30,45
1629721462,38,38
1629723366,32,34
1629725287,40,45
1629732982,34,146
1629734889,40,36
1629737049,34,42
1629738976,33,26
1629740890,33,0
1629744966,30,70
1629746895,23,27
1629748816,27,20
1629750725,20,38
1629752667,19,0
1629754568,27,0
1629756727,30,14
1629758645,31,25
1629760578,31,17
1629762486,30,26
1629764648,28,16
1629766565,26,14
1629768495,21,22
1629770419,21,12
1629772569,22,32
1629774496,18,14
1629778326,27,57
1629782166,31,52
1629784096,40,36
1629786011,32,0
1629788167,41,84
1629790095,34,31
1629796327,38,133
1629798256,52,50
1629802330,48,32
1629804246,43,35
1629808085,41,66
1629810258,41,34
1629812181,41,42
1629814086,35,0
1629816259,29,0
1629818168,39,0
1629820100,25,36
1629822005,29,36
1629826331,29,65
1629828254,21,35
1629832087,33,32
1629834012,25,24
1629835939,34,25
1629837850,24,14
1629841701,17,58
1629843604,21,26
1629847684,24,57
1629849634,16,32
1629851526,30,31
1629853701,17,29
1629855847,26,19
1629858007,25,23
1629860166,21,13
1629862328,24,25
1629864251,18,0
1629866181,27,31
1629868085,18,0
1629870247,33,33
1629872167,32,38
1629874099,28,32
1629876009,36,38
1629877927,36,36
1629879859,42,0
1629881766,28,0
1629883928,42,40
1629885858,37,55
1629887781,46,0
1629889685,27,48
1629891607,30,40
1629893537,40,0
1629895448,28,43
1629899296,25,74
1629901206,31,35
1629905060,26,53
1629906965,29,21
1629909127,19,31
1629912980,25,21
1629914885,21,27
1629918967,24,31
1629920897,31,27
1629922804,32,22
1629924725,24,21
1629926658,28,0
1629928566,20,16
1629930731,21,24
1629932653,26,0
1629934578,26,13
1629936485,22,27
1629938651,36,21
1629940581,20,25
1629942489,23,26
1629944418,27,22
1629946326,23,0
1629948258,15,25
1629950168,16,18
1629954263,27,45
1629956169,41,29
1629958326,36,31
1629960248,40,30
1629962176,37,30
1629964089,41,37
1629966246,44,33
1629968169,35,74
1629973926,33,85
1629975865,26,38
1629977768,34,33
1629979685,39,26
1629981617,27,33
1629983529,40,30
1629987376,34,22
1629989531,33,33
1629991446,29,0
1629993377,29,45
1629995286,32,0
1629997459,26,21
1630001286,35,43
1630003447,25,0
1630005365,42,0
1630007297,25,24
1630009205,31,55
1630011131,35,22
1630013057,30,0
1630017126,34,40
1630019051,15,19
1630020979,26,32
1630023159,30,48
1630025049,33,0
1630026970,30,34
1630028900,24,51
1630030811,21,0
1630032970,38,48
1630034886,25,13
1630036830,22,21
1630038731,25,0
1630040650,13,0
1630042579,27,65
1630044494,40,0
1630046649,41,70
1630048580,39,33
1630050498,31,42
1630052420,33,0
1630054327,47,39
1630056258,37,36
1630058167,44,0
1630060094,34,0
1630062015,30,27
1630064169,33,65
1630066329,32,33
1630068248,34,31
1630070177,32,41
1630072089,38,0
1630074250,30,35
1630076177,30,25
1630078087,34,27
1630080255,33,30
1630082179,49,34
1630093943,22,150
1630096089,34,29
1630098267,24,35
1630100167,43,40
1630104260,23,21
1630106169,22,21
1630110006,27,49
1630111930,10,38
1630113848,27,31
1630115779,21,23
1630117688,18,35
1630119619,22,32
1630121525,32,30
1630123465,20,21
1630125366,24,12
1630127543,31,30
1630129700,39,32
1630131635,47,45
1630133527,41,37
1630135448,27,31
1630137367,37,35
1630139298,46,34
1630141465,40,42
1630143368,47,37
1630145296,27,36
1630147461,38,32
1630149367,26,29
1630151541,30,33
1630153453,37,34
1630155380,37,35
1630157526,26,39
1630159453,28,34
1630161379,34,28
1630163284,24,28
1630165449,35,33
1630167370,36,36
1630169304,28,45
1630171206,35,0
1630173125,24,0
1630175061,22,0
1630176965,20,0
1630179129,19,0
1630181053,17,22
1630182980,25,26
1630185141,22,27
1630187050,20,41
1630188970,17,0
1630190901,26,24
1630192808,19,21
1630194735,30,0
1630196660,15,20
1630198565,26,13
1630202651,23,44
1630204580,24,22
1630206727,30,20
1630208645,14,23
1630210580,24,26
1630212488,24,25
1630214649,33,24
1630216573,30,37
1630218499,27,47
1630220429,46,38
1630222337,36,30
1630224268,37,38
1630226180,43,40
1630228090,40,41
1630230251,44,40
1630234097,28,71
1630236005,31,25
1630237926,32,0
1630239861,25,68
1630241765,27,0
1630243928,27,63
1630245857,26,24
1630247778,34,0
1630249684,37,53
1630253539,27,38
1630255454,42,37
1630257380,28,30
1630259293,32,33
1630261450,37,23
1630263378,34,46
1630275127,22,115
1630277055,22,18
1630278974,28,23
1630280898,27,24
1630282810,23,28
1630284966,16,52
1630287141,24,0
1630289294,15,23
1630291215,13,33
1630294097,26,22
1630302017,38,111
1630303930,40,37
1630307777,46,75
1630309688,42,35
1630311849,41,35
1630313770,40,40
1630315694,40,42
1630317610,31,46
1630321469,41,31
1630323369,30,24
1630325530,39,27
1630327445,38,32
1630329381,45,29
1630331287,39,31
1630333449,37,30
1630335366,38,34
1630337341,38,37
1630339225,38,0
1630343526,33,72
1630345445,29,39
1630347377,28,34
1630349288,27,41
1630351452,26,37
1630353614,23,0
1630355535,37,0
1630357455,20,0
1630359367,27,0
1630361537,26,19
1630363445,26,0
1630365365,25,17
1630367298,25,23
1630369448,25,46
1630371368,20,18
1630373297,25,0
1630375204,31,19
1630377369,31,22
1630379533,30,27
1630381446,15,23
1630383377,16,0
1630385288,24,0
1630387449,44,0
1630389366,36,34
1630391300,32,39
1630393455,45,0
1630395378,40,43
1630397540,35,43
1630399447,33,46
1630401365,36,32
1630403298,38,37
1630405206,41,32
1630407125,44,0
1630409059,32,35
1630410964,40,31
1630413127,41,32
1630415055,31,37
1630426564,37,236
1630428485,37,0
1630430647,42,29
1630432569,42,31
1630436405,27,56
1630438339,30,23
1630440258,19,22
1630442179,26,27
1630444087,16,33
1630446248,17,27
1630448170,32,18
1630450098,26,33
1630452249,22,28
1630454166,27,28
1630456097,30,23
1630458015,26,12
1630460168,26,26
1630462331,23,32
1630464247,18,36
1630466178,25,11
1630468087,23,21
1630470247,21,23
1630472164,27,28
1630474097,37,49
1630478169,42,72
1630480339,32,37
1630482249,40,40
1630484167,48,37
1630486101,43,39
1630488010,38,36
1630490168,38,40
1630492085,45,50
1630494027,45,48
1630495926,29,44
1630497852,33,39
1630499779,27,35
1630501685,32,31
1630503847,34,0
1630507698,31,0
1630509603,34,0
1630511767,29,0
1630513926,30,37
1630515851,12,39
1630519688,35,84
1630521848,35,0
1630523767,32,27
1630525702,40,18
1630527854,19,25
1630529810,18,24
1630531687,15,19
1630533628,19,15
1630537699,21,57
1630539618,24,23
1630541532,28,27
1630543446,23,20
1630545380,19,24
1630547285,22,30
1630549224,23,13
1630551130,38,17
1630553047,27,26
1630554979,23,25
1630557134,22,20
1630559293,20,34
1630561219,33,36
1630565289,46,44
1630569129,28,76
1630571048,36,42
1630572978,40,36
1630574887,42,38
1630577059,29,41
1630578981,28,40
1630580886,36,41
1630582805,35,22
1630584739,27,34
1630586645,31,26
1630588809,38,43
1630590738,39,32
1630592647,38,0
1630594567,36,29
1630606811,34,140
1630608743,33,33
1630610649,43,31
1630612577,37,40
1630614500,34,18
1630616416,28,20
1630618325,33,16
1630620268,20,19
1630622169,38,0
1630624328,29,21
1630626248,24,26
1630628178,29,20
1630632005,30,47
1630633936,30,16
1630636086,41,27
1630638259,30,27
1630640181,21,27
1630642091,21,27
1630644018,39,16
1630645932,44,36
1630647847,37,36
1630649783,34,0
1630651699,44,42
1630653609,36,0
1630655537,54,31
1630657451,27,34
1630659380,46,38
1630661289,27,42
1630663462,49,31
