DateTime,AddedIPs,RemovedIPs
1629532326,59,53
1629534257,55,57
1629536180,59,53
1629538099,53,59
1629540014,54,56
1629541924,54,55
1629545767,53,55
1629547926,64,52
1629549847,57,62
1629551778,55,61
1629553691,62,52
1629555849,62,63
1629557769,29,64
1629559695,53,27
1629561617,45,49
1629563524,43,48
1629565466,39,35
1629567366,47,46
1629569288,32,40
1629571220,52,38
1629575061,44,53
1629576968,53,43
1629579127,42,56
1629581056,53,42
1629582966,37,52
1629585126,37,31
1629587070,33,30
1629588979,39,42
1629590894,26,27
1629592819,47,44
1629594728,42,46
1629596647,38,33
1629598575,30,40
1629600489,22,24
1629602649,36,35
1629614404,48,36
1629616337,59,47
1629618249,51,60
1629620166,61,53
1629622100,60,58
1629624005,58,62
1629625926,55,59
1629627858,63,52
1629629766,56,61
1629631925,63,59
1629633856,53,58
1629635779,43,56
1629637686,63,46
1629639845,50,60
1629641766,51,48
1629643699,61,56
1629645607,54,60
1629647525,56,55
1629649459,48,54
1629651366,47,48
1629655225,54,49
1629657126,65,53
1629659051,36,54
1629660980,47,45
1629662889,41,34
1629668900,36,51
1629670805,37,36
1629672725,38,40
1629674656,31,26
1629676567,40,42
1629678497,31,29
1629680417,28,29
1629682325,36,38
1629684268,29,21
1629686180,46,48
1629688100,24,23
1629690011,44,45
1629691928,38,44
1629693861,41,31
1629695767,50,51
1629699628,65,52
1629701532,50,66
1629703448,48,49
1629705379,51,46
1629707285,51,53
1629709458,65,53
1629711378,62,62
1629713540,49,61
1629717610,48,47
1629719525,46,47
1629721462,56,48
1629723366,46,55
1629725287,62,51
1629732982,60,61
1629734889,55,58
1629737049,50,56
1629738976,46,48
1629740890,42,46
1629744966,45,44
1629746895,39,43
1629748816,45,40
1629750725,33,46
1629752667,26,18
1629754568,40,38
1629756727,41,41
1629758645,41,38
1629760578,49,45
1629762486,45,44
1629764648,46,48
1629766565,43,43
1629768495,36,49
1629770419,36,30
1629772569,38,40
1629774496,24,22
1629778326,42,40
1629782166,44,44
1629784096,52,44
1629786011,52,54
1629788167,61,52
1629790095,50,57
1629796327,50,52
1629798256,65,51
1629802330,61,64
1629804246,62,61
1629808085,55,63
1629810258,53,56
1629812181,53,49
1629814086,47,50
1629816259,45,49
1629818168,56,48
1629820100,40,55
1629822005,46,36
1629826331,44,48
1629828254,30,33
1629832087,46,40
1629834012,44,49
1629835939,43,42
1629837850,41,43
1629841701,42,41
1629843604,35,35
1629847684,46,41
1629849634,31,33
1629851526,47,44
1629853701,28,31
1629855847,45,41
1629858007,40,40
1629860166,39,50
1629862328,45,40
1629864251,30,31
1629866181,44,41
1629868085,26,27
1629870247,50,49
1629872167,52,47
1629874099,41,54
1629876009,52,41
1629877927,46,50
1629879859,49,44
1629881766,56,50
1629883928,62,59
1629885858,56,59
1629887781,56,60
1629889685,52,53
1629891607,47,51
1629893537,52,49
1629895448,51,49
1629899296,34,55
1629901206,51,34
1629905060,40,51
1629906965,42,38
1629909127,29,43
1629912980,36,30
1629914885,40,24
1629918967,44,51
1629920897,41,44
1629922804,47,42
1629924725,43,46
1629926658,43,41
1629928566,36,35
1629930731,46,44
1629932653,37,36
1629934578,46,47
1629936485,37,32
1629938651,63,51
1629940581,39,49
1629942489,31,45
1629944418,47,34
1629946326,42,52
1629948258,33,39
1629950168,29,25
1629954263,45,37
1629956169,58,52
1629958326,62,59
1629960248,57,58
1629962176,57,59
1629964089,61,56
1629966246,65,64
1629968169,55,64
1629973926,45,53
1629975865,53,43
1629977768,49,52
1629979685,50,50
1629981617,44,52
1629983529,58,43
1629987376,57,58
1629989531,42,58
1629991446,48,41
1629993377,48,46
1629995286,43,47
1629997459,49,44
1630001286,59,52
1630003447,48,57
1630005365,66,49
1630007297,45,66
1630009205,46,47
1630011131,59,48
1630013057,55,50
1630017126,55,61
