DateTime,Entries,UniqueIPs
1628827233,1396,1396
1628830841,1376,1376
1628834440,1347,1347
1628838032,1324,1324
1628841635,1314,1314
1628845243,1303,1303
1628848832,1294,1294
1628852439,1286,1286
1628856043,1274,1274
1628859631,1270,1270
1628863237,1265,1265
1628866840,1263,1263
1628870444,1259,1259
1628874042,1252,1252
1628877644,1248,1248
1628881246,1243,1243
1628884832,1227,1227
1628888434,1218,1218
1628892042,1204,1204
1628895631,1215,1215
1628899232,1209,1209
1628902831,1204,1204
1628906445,1212,1212
1628910035,1202,1202
1628913634,1186,1186
1628917242,1176,1176
1628920841,1173,1173
1628924433,1177,1177
1628928034,1170,1170
1628931640,1171,1171
1628935233,1166,1166
1628938833,1164,1164
1628942432,1161,1161
1628946033,1159,1159
1628949642,1165,1165
1628953232,1168,1168
1628956832,1164,1164
1628960445,1160,1160
1628964032,1161,1161
1628967633,1164,1164
1628971232,1165,1165
1628974846,1172,1172
1628978444,1172,1172
1628982033,1175,1175
1628985633,1188,1188
1628989240,1190,1190
1628992843,1196,1196
1628996433,1199,1199
1629000043,1203,1203
1629003635,1198,1198
1629007233,1206,1206
1629010839,1199,1199
1629014444,1200,1200
1629018044,1199,1199
1629021632,1201,1201
1629025234,1203,1203
1629028843,1204,1204
1629032443,1208,1208
1629036042,1208,1208
1629039643,1212,1212
1629043244,1212,1212
1629046833,1215,1215
1629050440,1219,1219
1629054032,1220,1220
1629057647,1229,1229
1629061233,1232,1232
1629064841,1236,1236
1629068434,1245,1245
1629072046,1257,1257
1629075635,1265,1265
1629079246,1276,1276
1629082833,1283,1283
1629086433,1291,1291
1629090045,1299,1299
1629093634,1304,1304
1629097233,1298,1298
1629100844,1296,1296
1629104433,1287,1287
1629108042,1285,1285
1629111632,1289,1289
1629115241,1291,1291
1629118833,1296,1296
1629122433,1295,1295
1629126042,1298,1298
1629129632,1297,1297
1629133234,1306,1306
1629136842,1311,1311
1629140432,1311,1311
1629144043,1314,1314
1629147643,1316,1316
1629151242,1330,1330
1629154842,1340,1340
1629158442,1354,1354
1629162041,1363,1363
1629165633,1365,1365
1629169239,1367,1367
1629172843,1376,1376
1629176433,1386,1386
1629180043,1387,1387
1629183633,1396,1396
1629187233,1393,1393
1629190844,1392,1392
1629194432,1388,1388
1629198045,1387,1387
1629201632,1388,1388
1629205242,1387,1387
1629208833,1390,1390
1629212446,1406,1406
1629216033,1406,1406
1629219633,1412,1412
1629223234,1412,1412
1629226844,1414,1414
1629230446,1416,1416
1629234033,1418,1418
1629237646,1428,1428
1629241246,1442,1442
1629244833,1457,1457
1629248444,1470,1470
1629252044,1482,1482
1629255635,1483,1483
1629259245,1492,1492
1629262833,1494,1494
1629266433,1503,1503
1629270044,1500,1500
1629273646,1508,1508
1629277241,1505,1505
1629280833,1505,1505
1629284435,1504,1504
1629288039,1511,1511
1629291632,1513,1513
1629295240,1518,1518
1629298833,1525,1525
1629302443,1533,1533
1629306045,1537,1537
1629309646,1548,1548
1629313246,1555,1555
1629316847,1565,1565
1629320445,1573,1573
1629324045,1577,1577
1629327633,1584,1584
1629331233,1596,1596
1629334848,1593,1593
1629338444,1594,1594
1629342032,1600,1600
1629345635,1598,1598
1629349234,1604,1604
1629352834,1604,1604
1629356435,1607,1607
1629360034,1609,1609
1629363633,1613,1613
1629367243,1610,1610
1629370833,1608,1608
1629374433,1620,1620
1629378039,1625,1625
1629381643,1630,1630
1629385233,1633,1633
1629388844,1634,1634
1629392443,1639,1639
1629396046,1640,1640
1629399638,1639,1639
1629403236,1640,1640
1629406838,1655,1655
1629410433,1671,1671
1629414033,1683,1683
1629417645,1689,1689
1629421242,1689,1689
1629424840,1686,1686
1629428433,1689,1689
1629432044,1693,1693
1629435633,1705,1705
1629439241,1706,1706
1629442847,1709,1709
1629446444,1712,1712
1629450032,1716,1716
1629453633,1716,1716
1629457243,1724,1724
1629460833,1731,1731
1629464433,1732,1732
1629468042,1730,1730
1629471634,1735,1735
1629475233,1744,1744
1629478833,1751,1751
1629482434,1757,1757
1629486054,1772,1772
1629489644,1771,1771
1629493245,1800,1800
1629496843,1813,1813
1629500442,1808,1808
1629504033,1813,1813
1629507640,1826,1826
1629511235,1830,1830
1629514836,1858,1858
1629518433,1882,1882
1629522049,1879,1879
1629525644,1891,1891
1629529233,1895,1895
1629532836,1904,1904
1629536433,1911,1911
1629540033,1928,1928
1629543633,1931,1931
1629547242,1928,1928
1629550840,1935,1935
1629554440,1933,1933
1629558041,1941,1941
1629561633,1946,1946
1629565234,1950,1950
1629568833,1959,1959
1629572433,1959,1959
1629576048,1962,1962
1629579643,1962,1962
1629583233,1963,1963
1629586847,1961,1961
1629590446,1951,1951
1629594041,1959,1959
1629597648,1963,1963
1629601243,1964,1964
1629612044,1996,1996
1629615636,1997,1997
1629619233,1997,1997
1629622834,1998,1998
1629626434,2000,2000
1629630042,2000,2000
1629633636,1999,1999
1629637244,1993,1993
1629640845,1995,1995
1629644435,1993,1993
1629648045,1994,1994
1629651632,2003,2003
1629655242,2004,2004
1629658839,2001,2001
1629662437,2008,2008
1629666045,2004,2004
1629669642,2010,2010
1629673235,2017,2017
1629676843,2017,2017
1629680432,2028,2028
1629684043,2028,2028
1629687649,2035,2035
1629691243,2026,2026
1629694839,2036,2036
1629698442,2041,2041
1629702033,2059,2059
1629705634,2060,2060
1629709249,2055,2055
1629712836,2055,2055
1629716433,2054,2054
1629720033,2052,2052
1629723632,2056,2056
1629727243,2050,2050
1629730841,2048,2048
1629734444,2053,2053
1629738043,2041,2041
1629741636,2042,2042
1629745232,2046,2046
1629748834,2043,2043
1629752432,2043,2043
1629756033,2036,2036
1629759635,2035,2035
1629763233,2033,2033
1629766834,2031,2031
1629770440,2030,2030
1629774035,2023,2023
1629777643,2013,2013
1629781244,2003,2003
1629784833,2002,2002
1629788433,2000,2000
1629792044,1998,1998
1629795642,1999,1999
1629799244,2001,2001
1629802833,2000,2000
1629806433,1997,1997
1629810043,2001,2001
1629813645,1998,1998
1629817243,1991,1991
1629820833,1987,1987
1629824433,1976,1976
1629828033,1978,1978
1629831635,1981,1981
1629835234,1977,1977
1629838843,1970,1970
1629842435,1969,1969
1629846042,1962,1962
1629849634,1955,1955
1629853234,1949,1949
1629856841,1947,1947
1629860439,1952,1952
1629864044,1949,1949
1629867634,1950,1950
1629871232,1943,1943
1629874832,1944,1944
1629878439,1946,1946
1629882043,1945,1945
1629885645,1938,1938
1629889233,1936,1936
1629892844,1933,1933
1629896445,1930,1930
1629900038,1927,1927
1629903643,1920,1920
1629907243,1915,1915
1629910842,1910,1910
1629914441,1899,1899
1629918044,1899,1899
1629921633,1888,1888
1629925233,1874,1874
1629928835,1879,1879
1629932439,1884,1884
1629936046,1887,1887
1629939642,1882,1882
1629943232,1883,1883
1629946845,1880,1880
1629950433,1895,1895
1629954033,1902,1902
1629957641,1902,1902
1629961243,1894,1894
1629964846,1895,1895
1629968440,1895,1895
1629972033,1893,1893
1629975647,1895,1895
1629979242,1892,1892
1629982847,1889,1889
1629986432,1885,1885
1629990033,1885,1885
1629993632,1879,1879
1629997244,1880,1880
1630000832,1879,1879
1630004440,1882,1882
1630008041,1881,1881
1630011632,1871,1871
1630015244,1853,1853
1630018833,1834,1834
1630022650,1834,1834
1630026040,1835,1835
1630029634,1836,1836
1630033240,1840,1840
1630036941,1843,1843
1630040432,1837,1837
1630044044,1837,1837
1630047632,1840,1840
1630051234,1837,1837
1630054844,1835,1835
1630058440,1829,1829
1630062033,1831,1831
1630065642,1823,1823
1630069241,1816,1816
1630072832,1809,1809
1630076433,1805,1805
1630080043,1796,1796
1630090834,1784,1784
1630094433,1778,1778
1630098040,1764,1764
1630101633,1755,1755
1630105239,1751,1751
1630108833,1744,1744
1630112431,1736,1736
1630116033,1728,1728
1630119645,1707,1707
1630123239,1667,1667
1630126840,1660,1660
1630130441,1646,1646
1630134034,1631,1631
1630137642,1620,1620
1630141234,1613,1613
1630144844,1600,1600
1630148432,1595,1595
1630152033,1596,1596
1630155633,1588,1588
1630159240,1590,1590
1630162834,1588,1588
1630166432,1586,1586
1630170042,1578,1578
1630173632,1570,1570
1630177245,1569,1569
1630180832,1575,1575
1630184444,1563,1563
1630188032,1559,1559
1630191631,1559,1559
1630195235,1562,1562
1630198832,1554,1554
1630202441,1548,1548
1630206032,1528,1528
1630209640,1522,1522
1630213234,1510,1510
1630216840,1503,1503
1630220431,1488,1488
1630224042,1487,1487
1630227632,1483,1483
1630231232,1479,1479
1630234838,1481,1481
1630238434,1483,1483
1630242041,1482,1482
1630245641,1481,1481
1630249242,1484,1484
1630252832,1487,1487
1630256437,1485,1485
1630260038,1487,1487
1630274441,1493,1493
1630278032,1509,1509
1630281633,1509,1509
1630285241,1509,1509
1630288831,1510,1510
1630292432,1508,1508
1630296032,1503,1503
1630299631,1499,1499
1630303238,1490,1490
1630306842,1476,1476
1630310444,1464,1464
1630314030,1460,1460
1630317639,1459,1459
1630321242,1468,1468
1630324831,1469,1469
1630328431,1460,1460
1630332042,1458,1458
1630335640,1454,1454
1630339240,1450,1450
1630342842,1451,1451
1630346442,1453,1453
1630350036,1451,1451
1630353643,1449,1449
1630357232,1449,1449
1630360833,1451,1451
1630364432,1449,1449
1630368039,1455,1455
1630371642,1448,1448
1630375232,1452,1452
1630378842,1451,1451
1630382430,1460,1460
1630386033,1459,1459
1630389638,1456,1456
1630393233,1451,1451
1630396831,1447,1447
1630400432,1445,1445
1630404033,1445,1445
1630407632,1445,1445
1630411231,1450,1450
1630414832,1448,1448
1630425640,1444,1444
1630429233,1446,1446
1630432830,1452,1452
1630436431,1446,1446
1630440032,1443,1443
1630443631,1445,1445
1630447231,1440,1440
1630450841,1443,1443
1630454431,1441,1441
1630458040,1444,1444
1630461642,1441,1441
1630465231,1443,1443
1630468840,1441,1441
1630472439,1440,1440
1630476044,1430,1430
1630479631,1433,1433
1630483231,1435,1435
1630486843,1438,1438
1630490431,1444,1444
1630494041,1441,1441
1630497643,1442,1442
1630501243,1441,1441
1630504841,1440,1440
1630508433,1442,1442
1630512040,1446,1446
1630515640,1448,1448
1630519240,1451,1451
1630522830,1449,1449
1630526440,1447,1447
1630530031,1446,1446
1630533631,1440,1440
1630537232,1438,1438
1630540831,1422,1422
1630544438,1418,1418
1630548031,1420,1420
1630551639,1423,1423
1630555230,1420,1420
1630558830,1417,1417
1630562431,1411,1411
1630566031,1412,1412
1630569640,1412,1412
1630573236,1407,1407
1630576831,1407,1407
1630580437,1402,1402
1630584032,1391,1391
1630587633,1390,1390
1630591241,1389,1389
1630594833,1390,1390
1630605643,1391,1391
1630609240,1393,1393
1630612832,1397,1397
1630616432,1397,1397
1630620041,1404,1404
1630623639,1419,1419
1630627232,1417,1417
1630630830,1415,1415
1630634442,1418,1418
1630638041,1413,1413
1630641644,1408,1408
1630645231,1401,1401
1630648832,1407,1407
1630652431,1404,1404
1630656031,1404,1404
1630659638,1404,1404
1630663232,1403,1403
