DateTime,AddedIPs,RemovedIPs
1628733639,3,1
1628737236,1,0
1628740841,1,7
1628744437,2,2
1628748038,7,1
1628751634,2,4
1628758832,0,6
1628762434,1,3
1628766031,0,2
1628769638,0,2
1628773240,1,2
1628776831,0,5
1628784039,2,2
1628787631,3,2
1628791234,2,2
1628794839,1,0
1628798430,3,3
1628802032,2,5
1628805631,3,6
1628809239,3,6
1628812838,5,1
1628816438,3,5
1628820040,2,6
1628823632,5,5
1628827240,0,2
1628830834,5,3
1628834441,4,3
1628838032,1,10
1628841641,3,3
1628845241,0,4
1628848831,0,3
1628852441,1,3
1628856031,1,4
1628859638,3,2
1628863233,0,1
1628866840,2,0
1628870431,3,5
1628874039,0,2
1628877632,2,2
1628881232,3,1
1628884831,5,3
1628888440,1,3
1628892031,3,4
1628895631,17,4
1628899232,4,0
1628902831,3,0
1628906443,6,0
1628910041,3,0
1628913634,3,4
1628917241,7,4
1628920832,4,2
1628924439,4,0
1628928041,1,2
1628931632,1,1
1628938840,3,1
1628942440,4,0
1628946032,1,0
1628949632,8,0
1628953232,1,0
1628956841,1,0
1628960433,5,3
1628964033,1,2
1628967633,5,1
1628971232,3,0
1628974832,6,2
1628982033,5,1
1628985633,10,1
1628989239,7,3
1628992833,6,3
1628996441,2,4
1629000041,5,2
1629003641,6,2
1629007241,4,3
1629010842,3,3
1629014443,2,1
1629018033,3,0
1629021642,2,3
1629025240,3,1
1629028832,4,1
1629032435,4,0
1629036034,1,3
1629039632,1,0
1629046833,3,0
1629050434,3,1
1629054032,4,2
1629057634,4,1
1629061240,5,2
1629064842,6,2
1629068436,6,0
1629072033,8,0
1629075641,4,0
1629079233,7,1
1629082832,4,1
1629086443,5,1
1629090033,6,2
1629093642,6,2
1629097242,0,4
1629100836,2,4
1629111633,2,0
1629118839,2,0
1629122433,3,0
1629126040,3,1
1629129639,1,0
1629133239,9,1
1629136834,5,1
1629140436,1,2
1629144041,3,2
1629147641,2,2
1629151233,10,0
1629154835,10,1
1629158435,6,0
1629162033,8,0
1629165633,6,2
1629169233,10,1
1629172840,17,1
1629176432,15,0
1629180033,4,1
1629183644,6,0
1629187245,1,2
1629190833,2,0
1629194432,1,1
1629198045,3,2
1629201637,3,1
1629205232,1,0
1629208840,6,0
1629212445,16,1
1629216033,7,2
1629219643,3,0
1629223233,1,0
1629226845,8,1
1629230446,5,1
1629234033,4,1
1629237633,6,1
1629241235,4,0
1629244833,8,0
1629248432,14,0
1629252033,9,0
1629255642,5,0
1629259235,12,3
1629262843,4,2
1629266433,8,2
1629270044,2,2
1629273636,1,0
1629277243,2,2
1629280843,8,0
1629284442,1,0
1629288033,3,0
1629291632,5,0
1629295233,3,1
1629298832,5,2
1629302433,10,0
1629306033,5,1
1629309632,9,1
1629313243,5,1
1629316833,11,2
1629320443,12,0
1629324045,3,1
1629327647,6,0
1629331232,9,0
1629334834,4,1
1629338444,5,3
1629342032,2,1
1629345643,2,1
1629349233,4,0
1629352833,9,9
1629356444,5,1
1629360034,2,0
1629363633,4,0
1629367243,3,0
1629370838,1,1
1629374445,10,0
1629378045,8,0
1629381644,6,0
1629385245,2,0
1629388844,5,3
1629392444,7,2
1629396038,3,1
1629399634,2,1
1629403242,3,3
1629406864,10,1
1629410447,8,4
1629414033,7,3
1629417632,6,3
1629421232,9,3
1629424841,8,0
1629428445,6,4
1629432042,3,2
1629435632,10,3
1629439233,4,5
1629442833,2,1
1629446439,9,2
1629450045,8,1
1629453633,4,1
1629457235,2,2
1629464444,1,3
1629468042,0,1
1629471648,2,2
1629475239,1,0
1629478844,6,1
1629482439,6,2
1629486051,9,1
1629489643,8,4
1629493234,16,1
1629496843,7,2
1629500447,10,10
1629504045,5,4
1629507643,2,5
1629511235,6,6
1629514836,17,3
1629518440,18,2
1629522033,5,4
1629525635,18,5
1629529233,8,5
1629532845,9,3
1629536449,9,0
1629540033,5,0
1629543633,3,1
1629547233,2,8
1629550834,2,1
1629554433,4,6
1629558044,2,1
1629561632,2,1
1629565233,3,4
1629568845,7,2
1629572432,2,5
1629576034,1,4
1629579643,0,8
1629583233,4,0
1629586846,5,6
1629590436,1,11
1629594035,0,7
1629597649,0,3
1629601243,8,4
1629612035,14,13
1629615643,2,3
1629619232,1,2
1629622833,1,3
1629626434,1,3
1629630035,0,2
1629633636,1,5
1629637234,1,5
1629640835,0,2
1629644435,3,1
1629648032,2,1
1629651642,7,2
1629655233,4,2
1629658834,2,6
1629662436,2,3
1629666040,0,4
1629669644,2,6
1629673247,6,5
1629676833,1,8
1629680439,6,6
1629684043,0,2
1629687636,0,5
1629691234,0,8
1629694842,4,5
1629698442,4,7
1629702047,2,1
1629705634,1,2
1629709242,0,1
1629716443,0,2
1629720043,0,1
1629723646,6,2
1629727234,1,3
1629730833,1,3
1629734435,1,2
1629738032,0,7
1629741636,1,2
1629745233,0,4
1629748834,1,2
1629752432,2,3
1629756044,1,10
1629759646,4,5
1629763233,1,6
1629766834,4,9
1629770446,0,4
1629774034,1,8
1629777640,0,18
1629781244,0,12
1629784838,0,6
1629788443,1,5
1629792035,0,2
1629795639,1,1
1629799241,0,1
1629802845,0,3
1629806446,0,4
1629810032,0,1
1629813633,0,4
1629817235,0,7
1629820833,2,8
1629824432,0,5
1629828046,0,1
1629831644,2,8
1629835233,0,7
1629838843,0,5
1629842434,0,7
1629846033,2,1
1629849641,5,8
1629853243,3,14
1629856831,1,8
1629860433,1,6
1629864032,0,10
1629867642,1,5
1629871233,4,8
1629874845,2,4
1629878445,1,1
1629882032,1,2
1629885645,0,6
1629889246,2,1
1629892835,0,3
1629896433,0,4
1629900032,0,3
1629903632,1,3
1629907243,2,7
1629910832,0,5
1629914434,2,9
1629918038,1,5
1629921642,0,10
1629925233,0,13
1629928835,1,3
1629932450,3,3
1629936044,4,10
1629939642,2,6
1629943247,3,6
1629946832,1,3
1629950440,2,2
1629954039,4,2
1629957633,3,6
1629961232,0,8
1629964832,1,1
1629968444,3,4
1629972039,0,5
1629975644,1,0
1629979243,2,11
1629982847,0,8
1629986442,1,8
1629990042,0,2
1629993633,1,6
1629997234,1,3
1630000846,0,4
1630004437,2,3
1630008043,0,3
1630011641,0,8
1630015240,0,11
1630018844,1,9
1630022513,1,5
1630026032,7,10
1630029634,5,10
1630033245,1,6
1630036917,6,5
1630040433,2,6
1630044033,4,6
1630047639,6,2
1630051233,1,8
1630054843,4,9
1630058433,0,7
1630062034,1,2
1630065634,2,0
1630069243,0,1
1630072832,1,2
1630076432,1,3
1630090834,0,17
1630094433,0,13
1630098032,1,16
1630101637,0,10
1630105234,0,9
1630108833,1,10
1630112431,3,3
1630116041,0,5
1630119639,3,11
1630123232,2,22
1630126832,1,5
1630130432,0,18
1630134033,0,8
1630137640,0,10
