DateTime,AddedIPs,RemovedIPs
1628290839,1,2
1628294433,0,1
1628298032,0,1
1628301636,1,1
1628305232,1,0
1628308837,3,0
1628312435,0,1
1628319636,0,1
1628323238,2,0
1628334032,8,1
1628341234,1,2
1628344830,0,1
1628352033,4,0
1628355629,3,9
1628359232,0,1
1628362835,0,3
1628366436,0,3
1628370031,0,2
1628373631,0,1
1628380831,0,3
1628384427,1,7
1628388032,1,1
1628395232,0,2
1628402438,0,1
1628406028,0,4
1628413231,1,0
1628416831,0,6
1628424015,1,0
1628427633,0,1
1628431234,0,1
1628438435,0,1
1628442032,1,0
1628445630,1,0
1628449230,1,0
1628452821,2,1
1628456436,1,0
1628460025,0,2
1628463630,1,1
1628470835,3,2
1628474431,0,2
1628481630,2,0
1628485225,0,2
1628488836,2,8
1628503227,2,3
1628506835,0,4
1628514033,0,1
1628521233,0,14
1628524828,1,0
1628528433,1,1
1628542832,1,1
1628546434,2,0
1628550033,2,1
1628553636,2,0
1628557231,0,1
1628560807,0,1
1628568034,2,1
1628571635,0,1
1628575234,1,0
1628578836,1,2
1628582430,2,4
1628586028,0,2
1628589635,0,1
1628596830,0,1
1628600433,0,2
1628604030,0,3
1628607633,0,2
1628611235,2,0
1628629231,3,0
1628632831,1,1
1628636435,0,1
1628640028,1,0
1628643634,3,2
1628647234,0,2
1628650831,1,0
1628654431,5,4
1628658035,2,8
1628661634,0,1
1628665232,0,1
1628672435,2,0
1628676013,5,4
1628679630,0,2
1628686835,3,4
1628690437,0,1
1628697631,0,1
1628701231,1,1
1628704809,1,2
1628708434,0,3
1628712035,0,2
1628715633,0,2
1628719236,1,2
1628722831,2,0
1628726431,2,2
1628730035,4,2
1628733630,0,1
1628740831,2,8
1628744435,1,0
1628748032,1,0
1628751630,3,2
1628755230,0,1
1628758833,1,0
1628762433,1,5
1628766030,1,0
1628773234,1,2
1628776834,1,0
1628784032,0,1
1628787635,3,0
1628794830,1,0
1628798433,0,2
1628802031,0,1
1628809236,1,0
1628812831,0,1
1628816430,4,1
1628820031,4,1
1628823612,0,3
1628827234,1,2
1628834413,1,0
1628838031,1,0
1628845231,1,1
1628848835,1,0
1628852433,1,0
1628856031,0,1
1628859633,1,0
1628863231,2,2
1628866832,1,0
1628874032,1,0
1628877632,1,1
1628881237,1,0
1628884829,1,1
1628888436,1,2
1628892028,2,1
1628895634,1,2
1628902834,3,0
1628906435,6,0
1628910024,5,0
1628913636,6,3
1628917233,3,0
1628920831,5,1
1628924410,3,0
1628928037,1,1
1628931637,4,0
1628935236,4,0
1628938826,1,8
1628946036,3,2
1628953231,2,0
1628956835,2,3
1628960432,1,4
1628964032,1,0
1628974832,4,0
1628978437,7,0
1628985621,5,0
1628989236,2,1
1628992835,5,1
1629000037,1,1
1629010832,0,2
1629018027,1,1
1629025208,1,0
1629028834,1,1
1629032411,2,0
1629036033,1,0
1629039634,1,0
1629046811,1,1
1629050437,0,3
1629054036,1,1
1629057634,1,2
1629068433,0,1
1629075638,1,4
1629082836,0,1
1629086437,1,1
1629090032,2,0
1629093634,1,1
1629097233,1,1
1629104437,2,0
1629108037,1,2
1629111630,1,0
1629122436,1,0
1629126012,2,0
1629129630,1,1
1629133233,1,0
1629136812,2,0
