DateTime,AddedIPs,RemovedIPs
1625018435,0,1
1625040035,1,0
1625050811,0,1
1625054435,1,0
1625076034,1,0
1625079640,1,0
1625094035,1,0
1625101233,1,0
1625108434,1,0
1625115636,1,1
1625122840,1,0
1625133634,1,0
1625140836,0,1
1625158839,1,0
1625169639,0,1
1625173237,0,1
1625184040,1,0
1625187636,1,0
1625194839,1,1
1625205636,2,0
1625216411,1,0
1625223635,0,1
1625266832,2,0
1625270435,1,0
1625274039,0,1
1625295637,1,0
1625299211,1,0
1625313639,1,0
1625324434,0,1
1625328038,1,0
1625335233,1,0
1625342436,1,0
1625346034,0,1
1625360440,0,2
1625364035,0,1
1625367639,0,2
1625374833,1,0
1625378433,1,0
1625400011,0,1
1625410834,2,0
1625418032,1,0
1625436032,0,1
1625439623,1,0
1625443213,0,1
1625446838,0,1
1625454035,0,1
1625457633,2,0
1625464835,0,1
1625500837,2,0
1625508033,0,1
1625511633,0,1
1625518837,1,0
1625533236,1,0
1625547638,0,1
1625562034,0,1
1625569212,0,1
1625576441,0,2
1625580033,0,1
1625587234,1,0
1625594439,1,0
1625601612,0,1
1625605228,1,0
1625608833,0,1
1625612440,0,1
1625623233,0,1
1625648437,1,0
1625652036,1,0
1625655635,0,1
1625677233,1,0
1625684434,0,1
1625695233,1,0
1625698840,1,0
1625706037,0,1
1625709633,0,1
1625713240,1,0
1625716834,1,0
1625720427,1,1
1625727627,1,1
1625734838,3,0
1625742035,0,1
1625749234,0,1
1625752836,0,1
1625756437,1,0
1625778034,1,0
1625781634,1,1
1625788818,0,1
1625796017,3,0
1625803236,2,0
1625810436,2,0
1625814033,1,0
1625821229,1,0
1625824837,0,1
1625846436,1,0
1625850033,0,2
1625853633,0,2
1625857233,2,0
1625860833,1,0
1625871623,1,0
1625875228,1,0
1625886032,0,1
1625893236,1,0
1625900439,1,2
1625918437,0,1
1625925638,1,0
1625929238,1,0
1625932839,1,1
1625936439,0,1
1625940034,0,2
1625947240,0,1
1625954435,2,0
1625958038,0,1
1625965241,0,1
1626001233,0,1
1626004839,0,1
1626008438,0,1
1626015635,1,0
1626019240,0,1
1626022835,0,1
1626026438,0,2
1626048040,0,1
1626091233,0,1
1626102035,1,0
1626120039,0,1
1626127240,1,0
1626156033,1,0
1626166815,0,1
1626184808,0,1
1626188436,0,1
1626199214,1,0
1626202837,2,1
1626217236,1,0
1626220808,0,1
1626228032,0,1
1626292842,0,1
1626307235,1,0
1626310838,0,1
1626379231,0,1
1626382834,0,1
1626386438,1,1
1626397233,0,3
1626404436,0,2
1626408032,1,0
1626418835,1,1
1626426038,1,0
1626429637,0,1
1626433240,0,1
1626444036,0,1
1626454810,0,1
1626458436,0,1
1626462041,3,0
1626465641,0,1
1626472835,0,1
1626487239,0,1
1626498037,0,1
1626505207,0,1
1626508834,0,1
1626512435,1,1
1626523237,0,1
1626526807,1,0
1626548438,0,1
1626555634,1,1
1626559238,0,1
1626562839,1,0
1626573634,1,0
1626584437,1,0
1626598837,1,0
1626606039,1,1
1626613239,0,1
1626616835,1,0
1626620433,0,1
1626631234,1,0
1626645633,1,0
1626674434,0,2
1626703239,1,0
1626714039,0,1
1626721235,1,0
1626739234,1,1
1626746433,0,1
1626750014,0,1
1626764433,0,1
1626782437,0,1
1626807638,1,0
1626811239,0,3
1626814839,0,2
1626818439,1,2
1626822032,0,1
1626825637,1,0
1626832837,0,1
1626843633,0,1
1626847233,0,1
1626865237,0,1
1626872436,1,0
1626876036,0,1
1626879636,0,1
1626886835,1,0
1626894038,1,0
1626912039,0,1
1626919238,1,0
1626930035,0,1
1626937233,0,1
1626944435,1,0
1626955239,0,1
1626958835,0,1
1626969639,0,1
1626991282,3,0
1626998432,0,1
1627005635,2,0
1627009233,1,0
1627012834,1,0
1627020033,0,1
1627038034,0,1
1627041633,1,1
1627059633,1,0
1627074033,0,1
1627106433,2,0
1627124437,0,1
1627138837,0,1
1627146034,0,1
1627171239,0,1
1627178440,1,1
1627189234,0,1
1627218035,1,0
1627221634,1,0
1627246835,1,1
1627250439,2,1
1627261239,0,1
1627264833,0,1
1627268432,0,1
1627282835,1,0
1627311637,0,1
1627336834,0,1
1627340438,1,0
1627365637,0,1
1627383635,0,1
1627387239,2,0
1627423237,1,0
1627426834,1,0
1627430433,0,1
1627459235,0,1
1627473638,1,0
1627484435,0,1
1627495233,0,1
1627502432,0,1
1627509632,1,0
1627534833,3,0
1627538437,1,0
1627542027,1,0
1627549235,0,1
1627570832,1,0
1627610437,0,1
1627632033,1,0
1627635633,1,0
1627639238,1,0
1627650032,0,2
1627671635,0,1
1627682433,0,1
1627732835,0,1
1627736434,0,2
1627754438,1,0
1627765233,1,0
1627768835,1,0
1627772440,0,1
1627779630,1,0
1627783232,1,0
1627786832,1,0
1627794034,1,1
1627797632,0,1
1627826432,0,1
1627833632,0,1
1627851615,1,0
1627858835,1,0
1627866041,0,1
1627876836,0,2
1627891233,1,0
1627905638,1,0
1627930829,1,0
1627941633,2,0
1627956040,1,0
1627963241,1,0
1627992035,0,1
1628002838,1,0
1628010038,0,1
1628031641,0,1
1628038839,1,0
1628046031,1,0
1628096438,1,0
1628103631,0,1
1628107238,0,1
1628110832,2,0
1628121632,2,0
1628136032,0,1
1628143237,0,1
1628154039,0,1
1628157632,0,1
1628161237,1,0
1628172039,1,0
1628175632,1,0
1628182839,1,0
1628186437,1,1
1628218842,1,0
1628233238,2,0
1628258438,1,1
1628262040,0,1
1628265632,0,1
1628272833,2,0
1628280039,0,1
1628290839,1,1
1628301632,0,2
1628334032,0,1
1628337633,0,1
1628352033,1,0
1628362831,0,2
1628380832,1,1
1628384434,1,0
1628398829,0,1
1628416834,1,1
1628431236,1,0
1628463637,0,2
1628474431,0,1
1628481636,0,1
1628514040,0,1
1628517635,0,1
1628532032,1,0
1628546430,0,2
1628553633,1,1
1628568029,0,1
1628578837,0,1
1628582431,0,1
1628596833,0,1
1628622031,0,1
1628672432,1,0
1628697631,1,0
1628701231,0,1
1628708430,0,1
1628712031,0,1
1628715637,1,0
1628719237,0,1
1628730034,1,1
1628755235,0,1
1628758829,0,1
1628762437,1,0
1628769638,1,0
1628776830,0,2
1628780432,0,1
1628791237,0,1
1628794832,0,1
1628809232,0,1
1628812831,1,0
1628823637,0,1
1628841638,0,1
1628870437,1,0
1628877633,0,1
1628884836,0,1
1628888438,0,1
1628942436,1,0
1628956838,0,1
1628978433,1,0
1628989232,1,0
1628996432,1,0
1629007232,0,2
1629010840,1,0
1629057634,1,0
1629061232,0,1
1629064833,1,1
1629068436,1,2
1629072032,1,0
1629108038,1,0
1629133239,1,0
1629136834,1,0
1629144029,1,0
1629158434,2,0
1629162037,1,0
1629187236,1,0
1629198037,1,0
1629216038,1,1
1629219637,1,0
1629234037,1,0
1629237632,1,0
1629241234,1,0
1629266429,1,0
1629270035,4,0
1629273640,1,0
1629277234,1,0
1629295233,1,0
1629298832,1,0
1629302439,1,1
1629316838,1,0
1629320434,1,0
1629327632,1,0
1629342031,0,1
1629356434,0,1
1629385234,1,0
1629421231,1,1
1629424837,1,0
1629428436,1,0
1629457234,1,0
1629475239,0,1
1629482438,0,1
1629493237,0,1
1629504032,0,1
1629507632,0,1
1629511234,0,1
1629518432,1,0
1629547237,1,0
1629565239,1,1
1629568837,1,0
1629576038,0,2
1629594034,1,0
1629597634,1,1
1629612040,1,0
1629619232,0,1
1629630039,0,1
1629640839,1,0
1629655238,1,0
1629673238,2,0
1629676832,0,2
1629687639,1,0
1629691239,1,1
1629705632,1,0
1629720039,1,0
1629727236,0,1
1629752439,0,1
1629759635,1,0
1629763234,1,0
1629770432,0,1
1629802828,0,1
1629820832,0,1
1629846035,1,1
1629849639,1,0
1629860433,1,0
1629871237,0,1
1629874836,0,1
1629878432,0,1
1629882034,0,1
1629885633,1,0
1629892834,0,1
1629900031,0,1
1629918032,0,1
1629925232,0,1
1629943232,0,1
1629946837,0,2
1629950433,0,1
1629979233,0,1
1629986438,0,1
1629990032,1,2
1630000838,1,0
1630029638,0,1
1630036896,0,1
1630051233,0,1
1630062038,0,1
1630098030,0,1
1630105233,1,0
1630108838,1,0
1630123236,0,1
1630130433,0,1
1630144837,1,0
1630148432,1,1
1630155632,0,1
1630159233,2,0
1630166436,0,1
1630173632,1,0
1630177232,1,0
1630188035,0,1
1630195234,0,1
1630198836,1,0
1630209631,1,1
1630216822,0,1
