DateTime,AddedIPs,RemovedIPs
1628697635,3,12
1628701231,0,7
1628704839,2,12
1628708430,0,14
1628712030,1,7
1628715640,1,8
1628719217,2,4
1628722832,11,0
1628726439,0,10
1628730031,6,2
1628733635,0,1
1628744440,0,1
1628751641,1,2
1628758841,0,2
1628762434,0,2
1628766031,0,2
1628769633,4,0
1628773233,0,37
1628776840,7,1
1628780438,3,0
1628784031,39,0
1628787632,2,2
1628791242,1,2
1628794831,4,2
1628798441,1,1
1628802032,0,2
1628805640,0,2
1628809233,0,3
1628812841,5,1
1628816438,2,0
1628820035,2,4
1628823632,0,1
1628827231,2,0
1628830831,1,1
1628834432,2,3
1628838031,1,3
1628841634,0,2
1628848831,1,2
1628856041,0,1
1628859630,0,39
1628863241,35,0
1628866840,0,3
1628870431,2,2
1628874031,6,5
1628877642,3,1
1628881242,1,0
1628884841,0,2
1628888437,1,1
1628895631,0,2
1628899231,0,1
1628902831,0,2
1628910041,3,1
1628913640,17,1
1628917230,1,0
1628920840,1,0
1628924432,2,2
1628928040,2,0
1628931641,1,2
1628935232,3,6
1628938840,3,7
1628942432,2,7
1628946031,1,41
1628949636,5,1
1628953239,5,3
1628956840,32,5
1628960432,3,0
1628964032,0,3
1628967633,2,3
1628971239,2,0
1628974840,1,1
1628978438,2,4
1628982033,3,1
1628985641,5,2
1628989237,6,0
1628992838,0,1
1629003634,2,0
1629007232,1,0
1629010838,1,1
1629014440,2,3
1629018039,0,1
1629025240,1,2
1629032440,1,3
1629036040,23,39
1629039639,11,1
1629043232,5,3
1629046837,5,3
1629050434,3,4
1629054032,2,4
1629057641,1,4
1629061232,3,0
1629064841,2,0
1629068433,2,0
1629072033,2,1
1629075634,1,38
1629079233,3,5
1629082839,0,1
1629086440,1,1
1629090032,0,2
1629093640,1,0
1629097232,1,0
1629100832,0,1
1629104441,0,2
1629108034,1,0
1629111641,0,2
1629115240,1,4
1629118832,3,1
1629122434,27,40
1629126040,9,1
1629129639,5,1
1629133239,0,3
1629136834,3,2
1629140431,1,2
1629144039,0,4
1629147632,4,1
1629151235,3,2
1629154834,4,2
1629158435,1,1
1629162032,1,3
1629165633,2,2
1629169233,1,0
1629172838,0,1
1629176438,1,2
1629180032,1,1
1629183639,3,2
1629187232,1,4
1629190832,0,2
1629194432,2,2
1629198041,0,2
1629201638,1,0
1629205238,0,1
1629208832,22,36
1629212441,11,1
1629216032,3,0
1629219636,1,2
1629223241,3,4
1629226834,9,9
1629230433,10,26
1629234033,15,1
1629237640,3,0
1629241229,3,3
1629244842,5,3
1629248439,6,0
1629252033,1,4
1629255633,7,4
1629259235,7,1
1629262832,4,1
1629266432,5,1
1629270041,13,1
1629273642,2,2
1629277241,3,0
1629280837,5,0
1629284440,1,6
1629288041,5,6
1629291640,4,3
1629295233,71,45
1629298841,33,10
1629302440,2,6
1629306035,6,1
1629309632,3,4
1629313232,6,5
1629316839,4,1
1629320432,7,1
1629324041,6,1
1629327642,3,10
1629331241,2,1
1629334842,7,3
1629342031,1,1
1629345640,2,4
1629349233,1,0
1629352837,0,1
1629356442,1,0
1629360033,0,1
1629363635,6,2
1629367232,7,0
1629374432,3,0
1629378041,3,0
1629381635,60,42
1629385240,27,1
1629388834,3,3
1629392435,2,1
1629396042,1,1
1629399643,3,3
1629403242,0,1
1629406855,1,0
1629410443,2,1
1629414033,6,1
1629417632,4,2
1629421238,1,1
1629424839,2,3
1629428434,1,0
1629432040,1,1
1629435640,1,1
1629439232,0,2
1629446433,0,1
1629450040,0,1
1629457235,4,1
1629460841,1,1
1629468039,19,54
1629471640,52,0
1629475233,2,2
1629478832,3,9
1629482433,3,5
1629486020,4,4
1629489632,4,2
1629493232,1,0
1629496834,4,1
1629500433,1,1
1629504040,0,3
1629507632,1,1
1629511234,0,3
1629514841,1,1
1629522040,2,2
1629525635,0,2
1629529232,1,1
1629532840,1,3
1629536433,0,2
1629540032,0,4
1629543632,1,1
1629550844,1,0
1629554440,17,64
1629558042,53,2
1629561632,1,3
1629565242,1,2
1629568833,0,1
1629572441,0,1
1629576033,0,1
1629579635,1,2
1629583232,0,1
1629586842,1,2
1629590434,0,2
1629594042,2,5
1629597635,6,2
1629601233,1,0
1629612035,1,1
1629615641,1,1
1629619232,0,1
1629622841,1,0
1629630041,1,1
1629633617,2,0
1629637240,2,1
1629640834,0,54
1629644435,61,12
1629648038,1,4
1629651640,3,1
1629655236,4,1
1629658832,1,2
1629662444,1,0
1629666041,4,3
1629669633,2,2
1629673241,3,0
1629676833,2,0
1629680437,3,3
1629684033,7,1
1629687638,5,1
1629691241,1,0
1629694832,1,1
1629698437,2,0
1629702032,0,1
1629705633,0,1
1629709232,1,0
1629716433,2,1
1629720033,2,0
1629723641,0,2
1629727233,1,53
1629730839,41,22
1629734432,15,6
1629738032,3,0
1629741645,1,2
1629745232,3,1
1629748840,1,0
1629752441,0,4
1629756038,2,2
1629759642,2,1
1629763232,3,3
1629766841,0,1
1629770432,1,2
1629774040,1,4
1629777632,2,0
1629781232,0,2
1629784841,2,0
1629788433,0,3
1629795633,2,3
1629799240,2,0
1629802833,3,2
1629810032,3,0
1629813639,2,58
1629817241,33,27
1629820832,16,4
1629824432,2,1
1629828033,1,6
1629831637,8,21
1629835240,23,54
1629838833,5,1
1629842440,7,2
1629846043,9,4
1629849640,5,2
1629853234,1,7
1629856838,2,1
1629860432,2,2
1629864031,0,2
1629867633,4,1
1629871233,2,1
1629874832,1,5
1629878436,1,1
1629882031,3,0
1629885640,1,5
1629889231,1,3
1629892834,1,0
1629896432,1,0
1629900032,1,34
1629903639,36,7
1629907237,7,2
1629910839,2,6
1629914439,5,2
1629918034,3,2
1629921635,2,5
1629925240,2,6
1629928840,2,1
1629932433,4,1
1629936033,2,0
1629939631,2,6
1629943240,3,2
1629946832,4,4
1629950432,3,1
1629954035,0,1
1629961231,1,3
1629964838,0,2
1629968433,0,12
1629972032,2,15
1629975633,0,2
1629979239,2,5
1629982839,5,5
1629986439,1,31
1629990032,38,19
1629993633,5,2
1629997234,1,0
1630000838,2,0
1630004434,1,3
1630008033,0,2
1630011631,0,2
1630015233,2,2
1630018832,3,1
1630022543,3,2
1630026037,1,5
1630029633,2,2
1630033240,0,2
1630040441,1,2
1630051239,2,1
1630054839,0,1
1630062033,3,1
1630065633,1,0
1630069232,1,1
1630072842,1,18
1630076440,22,15
1630080031,11,2
1630090834,6,5
1630094440,1,4
1630098032,1,2
1630101642,0,2
1630105243,1,1
1630108833,1,0
1630112437,1,0
1630116035,3,1
1630119632,1,1
1630123241,0,1
1630126839,1,1
1630130432,1,2
1630134033,4,1
1630137640,1,1
1630144831,1,1
1630148433,0,3
1630152032,1,1
1630155632,1,0
1630159233,1,27
1630162839,36,14
1630166431,7,4
1630170037,3,3
1630173632,1,2
1630177238,0,4
1630180835,2,0
