DateTime,AddedIPs,RemovedIPs
1628827307,81,123
1628830884,69,56
1628834510,61,58
1628838114,55,67
1628841712,86,77
1628845307,71,53
1628848884,71,66
1628852510,61,52
1628856114,80,54
1628859688,62,60
1628863310,65,58
1628866910,63,51
1628870504,57,36
1628874086,52,62
1628877689,52,61
1628881287,39,60
1628884886,51,58
1628888510,54,58
1628892088,66,49
1628895713,43,38
1628899316,42,56
1628902911,54,51
1628906497,41,54
1628910115,64,53
1628913685,46,38
1628917286,47,47
1628920907,43,42
1628924514,61,61
1628928090,53,49
1628931713,56,51
1628935291,74,60
1628938918,65,58
1628942507,52,60
1628946113,55,57
1628949715,56,56
1628953286,44,59
1628956910,53,71
1628960511,38,68
1628964090,51,63
1628967713,39,48
1628971286,56,39
1628974892,58,36
1628978491,56,49
1628982118,37,47
1628985688,50,57
1628989317,44,69
1628992887,41,37
1628996517,52,63
1629000087,49,72
1629003687,52,54
1629007288,56,40
1629010915,47,54
1629014489,47,65
1629018088,53,66
1629021713,57,44
1629025288,34,65
1629028921,61,63
1629032488,49,55
1629036108,61,65
1629039716,24,91
1629043311,43,74
1629046919,34,75
1629050512,35,79
1629054094,50,74
1629057712,40,82
1629061314,42,150
1629064909,44,178
1629068512,42,86
1629072122,46,68
1629075712,42,90
1629079314,46,57
1629082912,39,72
1629086515,52,100
1629090123,49,120
1629093714,67,104
1629097319,70,85
1629100911,87,73
1629104519,70,98
1629108117,50,110
1629111705,70,181
1629115317,47,125
1629118891,70,98
1629122492,57,94
1629126115,68,177
1629129719,49,159
1629133315,54,114
1629136900,80,103
1629140519,47,97
1629144120,63,90
1629147718,782,89
1629151321,1353,83
1629154917,518,155
1629158521,266,157
1629162114,137,79
1629165722,109,88
1629169312,94,77
1629172912,91,74
1629176488,93,71
1629180111,99,82
1629183716,84,104
1629187324,94,89
1629190922,70,88
1629194511,95,82
1629198116,69,101
1629201718,73,84
1629205311,217,88
1629208909,201,75
1629212488,204,57
1629216112,108,65
1629219722,93,58
1629223312,84,64
1629226920,83,69
1629230515,70,52
1629234115,70,74
1629237713,75,63
1629241320,62,41
1629244895,67,41
1629248520,52,59
1629252123,64,63
1629255711,58,87
1629259323,84,73
1629262921,85,83
1629266523,78,64
1629270122,81,114
1629273715,89,97
1629277320,80,83
1629280920,81,64
1629284511,89,61
1629288113,72,70
1629291722,79,76
1629295312,69,79
1629298915,59,65
1629302513,53,57
1629306113,64,62
1629309722,64,53
1629313320,57,57
1629316912,46,105
1629320512,53,246
1629324125,54,56
1629327715,54,50
1629331316,54,46
1629334912,40,47
1629338523,59,79
1629342119,38,77
1629345720,48,69
1629349314,69,74
1629352925,66,84
1629356522,94,76
1629360122,69,66
1629363721,114,84
1629367316,70,84
1629370912,45,74
1629374489,106,88
1629378120,72,70
1629381721,52,71
1629385320,50,63
1629388920,37,74
1629392520,68,61
1629396120,64,73
1629399713,69,69
1629403314,70,81
1629406933,57,68
1629410516,52,70
1629414115,54,54
1629417720,55,56
1629421320,49,43
1629424922,62,64
1629428513,54,73
1629432122,55,86
1629435722,65,54
1629439321,67,67
1629442921,133,69
1629446521,69,77
1629450120,50,80
1629453689,55,69
1629457314,52,70
1629460922,61,87
1629464516,71,78
1629468089,64,76
1629471721,58,61
1629475320,44,61
1629478915,69,65
1629482514,70,58
1629486104,68,36
1629489710,50,51
1629493314,53,56
1629496920,58,57
1629500516,50,47
1629504115,51,46
1629507712,37,48
1629511321,59,38
1629514926,53,66
1629518524,40,48
1629522112,58,47
1629525713,69,52
1629529310,56,55
1629532913,43,56
1629536516,50,41
1629540111,54,101
1629543713,51,67
1629547313,62,46
1629550913,50,60
1629554521,47,61
1629558120,45,34
1629561709,53,76
1629565314,45,41
1629568921,49,55
1629572513,54,46
1629576125,47,47
1629579713,38,40
1629583314,57,39
1629586916,43,41
1629590514,36,44
1629594122,38,26
1629597723,45,45
1629601319,38,53
1629612121,130,146
1629615720,48,60
1629619316,31,42
1629622914,49,57
1629626519,69,55
1629630115,58,34
1629633722,48,51
1629637322,73,49
1629640915,46,55
1629644520,72,40
1629648111,53,41
1629651712,35,37
1629655320,43,43
1629658921,50,40
1629662522,41,37
1629666113,40,33
1629669712,37,41
1629673323,35,41
1629676889,33,33
1629680523,40,33
1629684121,39,67
1629687722,53,61
1629691320,45,52
1629694921,52,68
1629698521,58,84
1629702114,82,76
1629705722,58,111
1629709313,112,119
1629712916,100,108
1629716523,74,98
1629720112,80,67
1629723718,57,94
1629727310,71,78
1629730919,46,61
1629734512,64,59
1629738119,41,53
1629741721,41,61
1629745320,46,50
1629748922,45,60
1629752519,49,78
1629756088,37,117
1629759712,38,92
1629763312,48,67
1629766919,43,86
1629770516,58,90
1629774109,51,91
1629777713,50,96
1629781321,61,118
1629784919,67,126
1629788522,86,187
1629792122,74,161
1629795722,58,154
1629799315,52,214
1629802915,57,156
1629806522,56,212
1629810121,69,305
1629813721,42,240
1629817321,41,251
1629820888,60,260
1629824489,77,444
1629828114,47,116
1629831715,68,99
1629835322,72,113
1629838921,45,134
1629842514,46,110
1629846121,51,90
1629849713,48,104
1629853320,46,71
1629856913,43,78
1629860522,56,101
1629864121,57,104
1629867713,54,94
1629871322,55,92
1629874920,81,107
1629878520,97,123
1629882117,77,119
1629885713,56,114
1629889314,61,114
1629892889,59,96
1629896512,61,99
1629900112,62,87
1629903713,44,79
1629907318,44,62
1629910919,65,77
1629914519,47,71
1629918122,46,62
1629921722,71,59
1629925323,57,61
1629928918,51,60
1629932522,37,61
1629936114,58,69
1629939712,41,71
1629943315,35,60
1629946913,42,77
1629950521,66,64
1629954115,61,73
1629957720,54,85
1629961316,71,84
1629964919,71,87
1629968513,68,102
1629972121,66,114
1629975716,60,75
1629979319,108,128
1629982915,62,87
1629986489,50,83
1629990113,51,96
1629993720,63,89
1629997312,43,85
1630000919,35,111
1630004513,59,97
1630008115,46,77
1630011712,51,58
1630015318,44,66
1630018921,75,71
1630022647,45,85
1630026120,59,65
1630029718,54,67
1630033313,52,95
1630037158,57,60
1630040523,66,91
1630044112,62,89
1630047721,71,144
1630051309,55,106
1630054913,68,84
1630058513,48,65
1630062111,61,72
1630065708,66,76
1630069312,43,85
1630072912,58,78
1630076519,56,75
1630080114,44,72
1630090918,156,242
1630094521,42,60
1630098112,47,57
1630101718,62,49
1630105320,55,59
1630108912,44,72
1630112515,24,47
1630116114,42,52
1630119717,39,56
1630123286,35,52
1630126920,52,65
1630130512,47,73
1630134117,44,58
1630137719,49,51
1630141313,45,92
1630144910,72,68
1630148512,72,75
1630152118,64,79
1630155712,50,66
1630159317,56,60
1630162916,57,61
1630166516,42,52
1630170110,38,59
1630173716,53,48
1630177310,49,47
1630180912,50,51
1630184510,39,46
1630188116,39,57
1630191716,37,48
1630195323,27,42
1630198914,44,46
1630202515,35,52
1630206114,55,34
1630209714,71,48
1630213311,44,70
1630216910,55,48
1630220510,54,53
1630224116,43,46
1630227716,53,51
1630231315,43,87
1630234909,54,72
1630238517,56,63
1630242115,43,78
1630245708,71,47
1630249315,40,79
1630252916,51,76
1630256516,36,59
1630260120,48,52
1630274516,177,182
1630278111,45,44
1630281718,48,59
1630285309,59,65
1630288915,67,53
1630292507,76,65
1630296116,55,43
1630299709,56,61
1630303316,82,88
1630306916,68,72
1630310506,67,108
1630314108,80,118
1630317715,66,107
1630321319,79,71
1630324905,62,94
1630328513,54,67
1630332107,56,113
1630335713,59,68
1630339314,73,72
1630342906,59,59
1630346514,61,41
1630350107,70,57
1630353713,59,53
1630357311,53,66
1630360911,54,44
1630364514,41,50
1630368113,41,50
1630371705,82,46
1630375306,49,63
1630378906,56,59
1630382513,55,49
1630386106,73,71
1630389708,62,70
1630393312,43,83
1630396883,61,78
1630400516,87,66
1630404118,76,69
1630407715,61,57
1630411306,63,64
1630414883,66,65
1630425705,228,176
1630429307,54,83
1630432912,50,52
1630436513,51,70
1630440104,44,70
1630443684,61,56
1630447305,42,45
1630450912,49,57
1630454482,43,56
1630458104,51,55
1630461715,42,60
1630465313,60,57
1630468914,63,48
1630472512,57,74
1630476103,68,55
1630479705,70,70
1630483283,59,110
1630486912,85,76
1630490519,77,75
1630494105,55,73
1630497706,58,62
1630501305,58,77
1630504912,56,60
1630508512,101,58
1630512083,86,48
1630515705,59,67
1630519313,50,63
1630522912,61,54
1630526511,58,68
1630530112,38,59
1630533683,51,64
1630537307,34,43
1630540914,35,71
1630544504,61,32
1630548114,43,44
1630551705,64,48
1630555313,60,62
1630558911,68,80
1630562511,94,49
1630566111,89,81
1630569706,53,71
1630573312,60,80
1630576905,65,84
1630580512,75,74
1630584112,64,74
1630587704,50,76
1630591312,64,58
1630594911,62,73
1630605711,177,169
1630609305,44,91
1630612911,49,54
1630616512,86,47
1630620107,49,72
1630623683,41,52
1630627317,46,63
1630630904,56,57
1630634506,39,65
1630638099,44,81
