DateTime,AddedIPs,RemovedIPs
1630168538,2,0
1630170639,2,0
1630171844,11,0
1630174236,1,0
1630176638,0,1
1630177837,1,0
1630179040,1,0
1630181436,11,0
1630183541,1,0
1630190437,2,0
1630192236,1,0
1630195542,1,0
1630199438,12,0
1630203037,2,0
1630206637,2,0
1630209037,14,0
1630213836,3,0
1630217436,2,0
1630221343,1,0
1630222243,1,0
1630224638,2,0
1630225239,2,0
1630225846,1,0
1630228236,0,2
1630229737,1,0
1630230640,11,0
1630230936,33,0
1630231251,3,0
1630231837,13,0
1630234238,2,0
1630234536,1,0
1630234844,1,0
1630235436,2,0
1630236037,1,0
1630236645,1,0
1630237842,1,0
1630238136,1,0
1630238451,2,0
1630239036,1,0
1630239636,1,0
1630240241,1,1
1630241445,7,0
1630241738,1,0
1630242636,15,0
1630242941,16,0
1630243239,19,0
1630243846,41,0
1630245037,1,0
1630246237,6,0
1630247737,1,0
1630249248,2,0
1630249837,2,0
1630251045,3,0
1630252539,2,0
1630253144,18,0
1630253437,13,0
1630253747,11,0
1630254040,15,0
1630254645,36,0
1630254936,14,0
1630255238,9,0
1630255839,4,5
1630256137,3,0
1630257037,2,1
1630258537,2,734
1630259443,7,0
1630260045,3,0
1630260639,13,0
1630261238,1,0
1630261845,2,0
1630262141,4,0
1630263039,28,0
1630274450,63,1
1630275041,4,0
1630276245,5,0
1630277441,1,0
1630278941,4,0
1630279237,1,0
1630279840,5,0
1630281041,1,0
1630281337,7,0
1630281943,1,0
1630282236,4,0
1630282837,1,0
1630283441,5,0
1630284936,8,0
1630285247,1,0
1630285836,13,0
1630286437,1,0
1630287043,4,0
1630288536,12,0
1630289741,3,0
1630290037,2,0
1630290335,0,1
1630290936,2,0
1630291242,1,0
1630291838,6,0
1630292137,3,1
1630293036,6,0
1630293938,1,0
1630295439,1,0
1630295737,14,0
1630296944,8,0
1630297237,1,0
1630297537,24,0
1630298135,1,0
1630298743,1,0
1630300235,4,0
1630300837,1,0
1630303836,2,0
1630305049,1,0
1630307436,2,0
1630309541,0,1
1630311037,1,0
1630311637,1,0
1630314635,1,0
1630314942,0,1
1630315237,3,0
1630318237,1,0
1630318544,23,0
1630318836,1,0
1630319441,164,0
1630319739,267,0
1630320339,10,0
1630320636,8,0
1630321241,2,0
1630321836,2,0
1630322139,6,0
1630323335,107,1
1630323946,156,0
1630324239,11,0
1630324847,1,0
1630325741,57,0
1630326646,178,0
1630326940,19,0
1630327547,29,0
1630327837,5,0
1630329039,341,0
1630329342,12,0
1630330242,3,0
1630330536,211,0
1630331140,34,0
1630331736,0,1
1630332046,1,0
1630332636,65,0
1630332940,9,0
1630333839,1,0
1630334137,55,0
1630334745,14,0
1630336236,24,0
1630336540,7,0
1630336836,1,0
1630337736,14,0
1630338037,5,0
1630338342,10,0
1630339836,86,0
1630340144,3,0
1630341336,4,0
1630341638,1,0
1630341944,9,0
1630342236,1,0
1630343436,28,0
1630343743,7,0
1630344641,15,0
1630345548,9,0
1630347036,7,0
1630347343,5,0
1630348241,10,0
1630348539,1,0
1630348838,1,0
1630349142,5,0
1630349439,3,4
1630349736,1,0
1630350637,5,0
1630350943,1,0
1630351850,1,0
1630352741,1,0
1630353037,6,0
1630354541,6,0
1630355440,9,0
1630356636,2,0
1630357243,1,0
1630357840,7,0
1630359039,8,0
1630359637,14,0
1630360237,1,0
