DateTime,AddedIPs,RemovedIPs
1629641767,63,46
1629643700,61,54
1629645608,66,45
1629647525,64,61
1629649460,57,38
1629651366,59,57
1629653284,67,68
1629655226,62,74
1629657127,45,53
1629659052,54,51
1629660981,81,51
1629662889,54,64
1629665049,52,68
1629666969,69,53
1629668901,80,48
1629670806,89,51
1629672725,58,98
1629674657,1116,0
1629676568,33,77
1629678498,43,46
1629680418,91,44
1629682326,28,42
1629684269,35,30
1629686181,35,45
1629688101,34,33
1629690012,46,37
1629691929,30,24
1629693861,40,43
1629695767,41,48
1629697689,42,54
1629699628,67,55
1629701533,59,32
1629703448,42,41
1629705380,46,46
1629707286,43,47
1629709459,43,56
1629711379,41,40
1629713541,53,2917
1629715447,66,75
1629717611,1585,5
1629719525,87,75
1629721463,48,42
1629723367,28,66
1629725288,16,54
1629727221,12,72
1629729127,14,48
1629731054,23,53
1629732983,19,64
1629734889,18,57
1629737049,26,76
1629738977,144,49
1629740890,143,62
1629743047,134,54
1629744967,55,75
1629746896,29,58
1629748817,72,63
1629750725,46,56
1629752668,55,60
1629754569,63,59
1629756727,92,61
1629758646,49,65
1629760578,1165,0
1629762486,38,63
1629764649,34,46
1629766566,36,53
1629768496,44,46
1629770420,70,56
1629772570,35,38
1629774496,29,40
1629776407,48,43
1629778327,41,55
1629780260,55,43
1629782167,47,35
1629784097,42,49
1629786012,54,38
1629788168,45,56
1629790095,46,44
1629792012,48,45
1629794173,52,50
1629796328,53,50
1629798257,38,36
1629800169,47,3006
1629802331,72,102
1629804247,1636,0
1629806177,69,52
1629808086,65,60
1629810259,66,114
1629812182,80,55
1629814087,65,62
1629816259,67,57
1629818168,66,56
1629820100,61,52
1629822006,52,40
1629824169,90,71
1629826331,85,72
1629828255,73,56
1629830182,89,78
1629832088,59,55
1629834013,73,69
1629835940,57,49
1629837851,78,54
1629839768,70,66
1629841701,66,46
1629843605,55,59
1629845770,94,80
1629847685,1185,2
1629849635,43,42
1629851527,48,59
1629853701,48,85
1629855848,34,39
1629858008,34,50
1629860168,41,44
1629862329,40,51
1629864252,50,30
1629866181,41,46
1629868086,22,44
1629870248,54,49
1629872167,53,50
1629874100,33,49
1629876010,54,56
1629877927,54,41
1629879859,45,49
1629881767,29,51
1629883928,49,46
1629885858,49,2562
1629887782,132,89
1629889686,1502,0
1629891608,72,55
1629893537,60,49
1629895449,66,51
1629897367,56,61
1629899297,60,59
1629901207,56,55
1629903129,63,66
1629905060,45,53
1629906966,96,45
1629909129,59,57
1629911055,49,50
1629912981,69,79
1629914886,34,57
1629917046,40,65
1629918968,61,61
1629920898,61,46
1629922805,47,54
1629924725,66,61
1629926659,42,48
1629928566,74,57
1629930730,61,70
1629932654,1083,0
1629934579,46,49
1629936486,39,31
1629938652,55,36
1629940582,37,49
1629942490,28,42
1629944418,53,47
1629946326,32,44
1629948259,35,36
1629950168,38,34
1629952330,58,52
1629954264,40,38
1629956170,56,53
1629958327,50,45
1629960249,52,46
1629962177,46,42
1629964089,42,27
1629966247,75,52
1629968169,53,46
1629970096,45,32
1629972018,33,2774
1629973927,82,91
1629975866,1484,0
1629977768,84,59
1629979686,78,60
1629981617,76,67
1629983530,55,42
1629985446,62,32
1629987376,63,46
1629989531,59,66
1629991447,36,36
1629993378,57,58
1629995286,52,32
1629997460,58,40
1629999381,51,93
1630001287,54,47
1630003448,74,65
1630005366,66,65
1630007298,52,63
1630009206,44,64
1630011132,43,24
1630013058,37,56
1630014967,60,82
1630017126,56,84
1630019052,1075,0
1630020979,29,47
1630023160,39,57
1630025050,50,32
1630026971,51,33
1630028900,45,26
1630030812,38,33
1630032970,42,45
1630034887,28,22
1630036831,18,51
1630038732,34,24
1630040651,27,22
1630042580,46,70
1630044495,43,30
1630046650,55,51
1630048581,41,47
1630050498,43,52
1630052420,58,55
1630054328,42,19
1630056258,39,40
1630058167,47,53
1630060095,49,2760
1630062016,1566,0
1630064169,66,55
1630066330,76,52
1630068248,50,53
1630070178,61,44
1630072090,42,42
1630074250,71,56
1630076178,85,50
1630078087,56,49
1630080256,59,58
1630082180,56,55
1630093944,287,363
1630096090,62,90
1630098268,45,74
1630100167,29,76
1630102097,59,54
1630104261,42,85
1630106170,1168,0
1630108101,23,35
1630110007,35,33
1630111930,33,42
1630113849,37,26
1630115779,42,40
1630117688,33,41
1630119620,59,36
1630121525,32,34
1630123466,27,41
1630125367,45,41
1630127544,44,53
1630129700,46,37
1630131636,51,53
1630133528,30,42
1630135449,38,58
1630137368,41,63
1630139298,30,51
1630141466,38,56
1630143369,40,58
1630145297,40,2728
1630147462,80,75
1630149368,1487,0
1630151541,48,70
1630153453,47,66
1630155381,63,61
1630157527,56,55
1630159454,61,47
1630161380,44,53
1630163285,67,43
1630165449,70,41
1630167371,59,53
1630169304,44,45
1630171207,65,60
1630173126,54,54
1630175062,61,56
1630176966,65,65
1630179130,65,60
1630181054,51,67
1630182980,58,57
1630185142,54,90
1630187051,61,60
1630188971,54,64
1630190902,37,47
1630192809,1099,0
1630194736,31,49
1630196661,25,49
1630198566,38,43
1630200729,44,42
1630202652,28,35
1630204580,26,43
1630206727,70,42
1630208646,32,18
1630210580,41,38
1630212489,18,35
1630214650,28,45
1630216574,34,51
1630218499,31,47
1630220430,41,47
1630222338,41,45
1630224269,28,56
1630226181,43,44
1630228090,24,59
1630230252,35,58
1630232176,45,2633
1630234098,81,71
1630236006,1402,0
1630237927,52,51
1630239861,50,56
1630241766,70,50
1630243929,50,55
1630245858,65,66
1630247779,50,50
1630249685,42,56
1630251606,82,37
1630253539,53,53
1630255455,49,55
1630257381,89,66
1630259294,56,64
1630261451,85,53
1630263379,73,53
1630275128,324,274
1630277055,50,54
1630278975,1024,0
1630280899,41,27
1630282811,42,48
1630284967,34,38
1630287141,48,43
1630289295,47,57
1630291216,27,42
1630293159,39,40
1630295047,35,31
1630296981,46,43
1630298891,34,40
1630301049,30,46
1630302969,38,51
1630304896,32,37
1630306808,36,33
1630308726,50,38
1630310664,28,23
1630312567,40,39
1630314484,46,39
1630316417,51,46
1630318326,30,2419
1630320244,68,80
1630322178,1323,0
1630324085,46,46
1630326248,56,51
1630328167,69,40
1630330095,47,43
1630332014,49,43
1630333926,46,45
1630335864,49,60
1630337768,58,50
1630339927,38,59
1630341845,65,41
1630343778,57,47
1630345687,57,39
1630347847,69,51
1630349765,63,66
1630351696,58,47
1630353615,71,48
1630355535,49,35
1630357455,67,42
1630359368,66,56
1630361537,56,64
1630363446,44,53
1630365366,928,0
1630367299,44,34
1630369449,33,33
1630371369,38,36
1630373298,32,28
1630375205,39,26
1630377369,35,46
1630379533,46,47
1630381447,26,29
1630383377,32,48
1630385289,30,24
1630387449,28,31
1630389367,50,35
1630391301,33,33
1630393456,41,47
1630395379,45,37
1630397541,27,38
1630399448,51,25
1630401366,35,34
1630403299,35,44
1630405207,48,2572
1630407126,76,89
1630409059,1445,2
1630410965,84,73
1630413128,42,40
1630415056,56,30
1630426565,295,335
1630428486,44,57
1630430648,45,39
1630432569,57,54
1630434494,66,33
1630436406,43,52
1630438340,71,73
1630440259,55,43
1630442180,56,68
1630444087,40,59
1630446249,47,66
1630448171,72,69
1630450099,42,51
1630452250,1069,0
1630454167,28,60
1630456098,39,24
1630458016,53,35
1630460169,46,60
1630462331,30,54
1630464247,27,26
1630466179,32,47
1630468087,31,30
1630470248,31,60
1630472165,50,45
1630474098,23,28
1630476011,38,37
1630478170,33,40
1630480340,36,50
1630482250,33,37
1630484168,44,48
1630486102,28,42
1630488010,49,59
1630490169,34,46
1630492086,47,2707
1630494028,1442,0
1630495927,48,62
1630497853,29,34
1630499779,53,45
1630501686,63,39
1630503848,35,52
1630505768,46,54
1630507699,50,34
1630509604,45,62
1630511768,86,64
1630513926,54,69
1630515852,46,50
1630517778,70,50
1630519689,45,75
1630521848,57,61
1630523767,61,66
1630525702,45,48
1630527855,49,83
1630529810,50,85
1630531688,48,58
1630533629,60,48
1630535530,43,72
1630537700,1130,0
1630539619,27,59
1630541533,30,18
1630543447,23,40
1630545381,43,35
1630547286,30,28
1630549225,39,43
1630551131,25,27
1630553048,34,45
1630554979,36,41
1630557135,26,58
1630559294,25,44
1630561220,51,42
1630563130,44,58
1630565290,61,50
1630567215,40,49
1630569130,51,37
1630571049,30,56
1630572979,38,64
1630574888,48,47
1630577060,64,2875
1630578981,80,109
1630580887,1521,0
1630582806,57,52
1630584740,83,53
1630586645,44,78
1630588810,81,80
1630590739,49,64
1630592648,66,34
1630594568,57,58
1630606813,355,315
1630608744,44,45
1630610649,43,54
1630612578,69,70
1630614501,34,54
1630616417,41,85
1630618326,53,68
1630620269,62,43
1630622169,75,84
1630624329,1144,0
1630626249,25,38
1630628179,36,50
1630630086,44,56
1630632006,39,45
1630633937,54,51
1630636087,21,35
1630638260,41,41
1630640182,48,28
1630642092,54,40
1630644019,45,45
1630645932,29,33
1630647848,35,25
1630649783,49,59
1630651700,43,41
1630653610,41,51
1630655538,29,55
1630657452,43,41
1630659381,35,55
1630661290,32,65
1630663463,44,2491
