DateTime,Entries,UniqueIPs
1629641767,7662,7662
1629643700,7669,7669
1629645608,7690,7690
1629647525,7693,7693
1629649460,7712,7712
1629651366,7714,7714
1629653284,7713,7713
1629655226,7701,7701
1629657127,7693,7693
1629659052,7696,7696
1629660981,7726,7726
1629662889,7716,7716
1629665049,7700,7700
1629666969,7716,7716
1629668901,7748,7748
1629670806,7786,7786
1629672725,7746,7746
1629674657,8862,8862
1629676568,8818,8818
1629678498,8815,8815
1629680418,8862,8862
1629682326,8848,8848
1629684269,8853,8853
1629686181,8843,8843
1629688101,8844,8844
1629690012,8853,8853
1629691929,8859,8859
1629693861,8856,8856
1629695767,8849,8849
1629697689,8837,8837
1629699628,8849,8849
1629701533,8876,8876
1629703448,8877,8877
1629705380,8877,8877
1629707286,8873,8873
1629709459,8860,8860
1629711379,8861,8861
1629713541,5997,5997
1629715447,5988,5988
1629717611,7568,7568
1629719525,7580,7580
1629721463,7586,7586
1629723367,7548,7548
1629725288,7510,7510
1629727221,7450,7450
1629729127,7416,7416
1629731054,7386,7386
1629732983,7341,7341
1629734889,7302,7302
1629737049,7252,7252
1629738977,7347,7347
1629740890,7428,7428
1629743047,7508,7508
1629744967,7488,7488
1629746896,7459,7459
1629748817,7468,7468
1629750725,7458,7458
1629752668,7453,7453
1629754569,7457,7457
1629756727,7488,7488
1629758646,7472,7472
1629760578,8637,8637
1629762486,8612,8612
1629764649,8600,8600
1629766566,8583,8583
1629768496,8581,8581
1629770420,8595,8595
1629772570,8592,8592
1629774496,8581,8581
1629776407,8586,8586
1629778327,8572,8572
1629780260,8584,8584
1629782167,8596,8596
1629784097,8589,8589
1629786012,8605,8605
1629788168,8594,8594
1629790095,8596,8596
1629792012,8599,8599
1629794173,8601,8601
1629796328,8604,8604
1629798257,8606,8606
1629800169,5647,5647
1629802331,5617,5617
1629804247,7253,7253
1629806177,7270,7270
1629808086,7275,7275
1629810259,7227,7227
1629812182,7252,7252
1629814087,7255,7255
1629816259,7265,7265
1629818168,7275,7275
1629820100,7284,7284
1629822006,7296,7296
1629824169,7315,7315
1629826331,7328,7328
1629828255,7345,7345
1629830182,7356,7356
1629832088,7360,7360
1629834013,7364,7364
1629835940,7372,7372
1629837851,7396,7396
1629839768,7400,7400
1629841701,7420,7420
1629843605,7416,7416
1629845770,7430,7430
1629847685,8613,8613
1629849635,8614,8614
1629851527,8603,8603
1629853701,8566,8566
1629855848,8561,8561
1629858008,8545,8545
1629860168,8542,8542
1629862329,8531,8531
1629864252,8551,8551
1629866181,8546,8546
1629868086,8524,8524
1629870248,8529,8529
1629872167,8532,8532
1629874100,8516,8516
1629876010,8514,8514
1629877927,8527,8527
1629879859,8523,8523
1629881767,8501,8501
1629883928,8504,8504
1629885858,5991,5991
1629887782,6034,6034
1629889686,7536,7536
1629891608,7553,7553
1629893537,7564,7564
1629895449,7579,7579
1629897367,7574,7574
1629899297,7575,7575
1629901207,7576,7576
1629903129,7573,7573
1629905060,7565,7565
1629906966,7616,7616
1629909129,7618,7618
1629911055,7617,7617
1629912981,7607,7607
1629914886,7584,7584
1629917046,7559,7559
1629918968,7559,7559
1629920898,7574,7574
1629922805,7567,7567
1629924725,7572,7572
1629926659,7566,7566
1629928566,7583,7583
1629930730,7574,7574
1629932654,8657,8657
1629934579,8654,8654
1629936486,8662,8662
1629938652,8681,8681
1629940582,8669,8669
1629942490,8655,8655
1629944418,8661,8661
1629946326,8649,8649
1629948259,8648,8648
1629950168,8652,8652
1629952330,8658,8658
1629954264,8660,8660
1629956170,8663,8663
1629958327,8668,8668
1629960249,8674,8674
1629962177,8678,8678
1629964089,8693,8693
1629966247,8716,8716
1629968169,8723,8723
1629970096,8736,8736
1629972018,5995,5995
1629973927,5986,5986
1629975866,7470,7470
1629977768,7495,7495
1629979686,7513,7513
1629981617,7522,7522
1629983530,7535,7535
1629985446,7565,7565
1629987376,7582,7582
1629989531,7575,7575
1629991447,7575,7575
1629993378,7574,7574
1629995286,7594,7594
1629997460,7612,7612
1629999381,7570,7570
1630001287,7577,7577
1630003448,7586,7586
1630005366,7587,7587
1630007298,7576,7576
1630009206,7556,7556
1630011132,7575,7575
1630013058,7556,7556
1630014967,7534,7534
1630017126,7506,7506
1630019052,8581,8581
1630020979,8563,8563
1630023160,8545,8545
1630025050,8563,8563
1630026971,8581,8581
1630028900,8600,8600
1630030812,8605,8605
1630032970,8602,8602
1630034887,8608,8608
1630036831,8575,8575
1630038732,8585,8585
1630040651,8590,8590
1630042580,8566,8566
1630044495,8579,8579
1630046650,8583,8583
1630048581,8577,8577
1630050498,8568,8568
1630052420,8571,8571
1630054328,8594,8594
1630056258,8593,8593
1630058167,8587,8587
1630060095,5876,5876
1630062016,7442,7442
1630064169,7453,7453
1630066330,7477,7477
1630068248,7474,7474
1630070178,7491,7491
1630072090,7491,7491
1630074250,7506,7506
1630076178,7541,7541
1630078087,7548,7548
1630080256,7549,7549
1630082180,7550,7550
1630093944,7474,7474
1630096090,7446,7446
1630098268,7417,7417
1630100167,7370,7370
1630102097,7375,7375
1630104261,7332,7332
1630106170,8500,8500
1630108101,8488,8488
1630110007,8490,8490
1630111930,8481,8481
1630113849,8492,8492
1630115779,8494,8494
1630117688,8486,8486
1630119620,8509,8509
1630121525,8507,8507
1630123466,8493,8493
1630125367,8497,8497
1630127544,8488,8488
1630129700,8497,8497
1630131636,8495,8495
1630133528,8483,8483
1630135449,8463,8463
1630137368,8441,8441
1630139298,8420,8420
1630141466,8402,8402
1630143369,8384,8384
1630145297,5696,5696
1630147462,5701,5701
1630149368,7188,7188
1630151541,7166,7166
1630153453,7147,7147
1630155381,7149,7149
1630157527,7150,7150
1630159454,7164,7164
1630161380,7155,7155
1630163285,7179,7179
1630165449,7208,7208
1630167371,7214,7214
1630169304,7213,7213
1630171207,7218,7218
1630173126,7218,7218
1630175062,7223,7223
1630176966,7223,7223
1630179130,7228,7228
1630181054,7212,7212
1630182980,7213,7213
1630185142,7177,7177
1630187051,7178,7178
1630188971,7168,7168
1630190902,7158,7158
1630192809,8257,8257
1630194736,8239,8239
1630196661,8215,8215
1630198566,8210,8210
1630200729,8212,8212
1630202652,8205,8205
1630204580,8188,8188
1630206727,8216,8216
1630208646,8230,8230
1630210580,8233,8233
1630212489,8216,8216
1630214650,8199,8199
1630216574,8182,8182
1630218499,8166,8166
1630220430,8160,8160
1630222338,8156,8156
1630224269,8128,8128
1630226181,8127,8127
