DateTime,AddedIPs,RemovedIPs
1628892004,501,2042
1628894705,825,2009
1628897404,491,1964
1628900105,509,979
1628902806,670,319
1628905507,560,196
1628908207,414,138
1628910907,277,108
1628913606,540,64
1628916306,324,716
1628919006,383,880
1628921707,459,322
1628924407,677,321
1628927107,579,277
1628929807,500,277
1628932506,461,321
1628935207,443,380
1628937907,632,291
1628940605,911,477
1628943304,511,424
1628946004,518,43
1628948704,640,41
1628951404,418,52
1628954104,436,46
1628956804,481,48
1628959504,389,40
1628962204,568,127
1628964904,317,466
1628968503,1345,810
1628971203,345,559
1628973903,297,481
1628977503,473,556
1628981103,393,738
1628983803,370,828
1628987403,560,778
1628991003,573,701
1628994604,443,733
1628998202,623,548
1629001803,397,557
1629005403,691,635
1629009004,685,464
1629012604,471,1346
1629016203,834,463
1629019802,418,332
1629023403,614,487
1629026102,589,317
1629028803,530,394
1629031503,567,425
1629034203,782,472
1629036903,314,331
1629039603,488,367
1629042302,450,461
1629045003,367,315
1629047703,443,441
1629050403,603,502
1629053103,449,526
1629055803,479,373
1629058503,441,656
1629061203,327,411
1629063903,378,289
1629066603,2406,454
1629069303,1059,496
1629072003,1085,603
1629074703,967,418
1629078303,1877,1026
1629081904,1451,468
1629084604,696,452
1629087303,1017,431
1629090004,828,1024
1629092703,1091,859
1629096303,1278,864
1629099003,675,172
1629102604,1067,564
1629106204,702,438
1629109804,938,580
1629113403,970,2450
1629117003,874,1357
1629120603,1246,1341
1629124203,1850,2008
1629127803,2495,1024
1629131403,1516,1264
1629135003,1627,1104
1629138603,1576,1383
1629142204,1305,1064
1629145804,1431,1030
1629149404,1184,2005
1629153003,1048,1410
1629156604,1412,1749
1629160204,863,2021
1629163804,953,2584
1629166504,645,1173
1629169204,947,1367
1629171904,1166,1677
1629174604,1124,373
1629177304,1001,395
1629180903,1753,758
1629183604,1193,552
1629186304,1522,644
1629189004,1146,463
1629191704,1800,767
1629194403,981,644
1629197104,742,793
1629199803,758,927
1629203404,1496,1076
1629206103,1478,714
1629208803,1461,692
1629211503,982,837
1629214203,1014,943
1629217803,1357,1448
1629221403,1992,1218
1629225003,1813,1642
1629228603,1291,1567
1629232203,1445,1828
1629235802,1502,1727
1629239403,1477,1492
1629243003,1048,1000
1629246603,1317,1267
1629250203,1344,1563
1629253802,1526,1794
1629257403,1038,1256
1629261002,1038,1540
1629264603,1229,1541
1629267303,1192,1455
1629270003,1012,1239
1629272703,1723,1019
1629275403,711,1266
1629279002,1402,1328
1629282602,1188,1484
1629286203,1826,1123
1629289802,2008,1366
1629293403,2132,1388
1629297003,1529,1573
1629300603,2469,1296
1629304203,2632,948
1629307803,1777,1240
1629311403,1255,1418
1629315004,1350,1354
1629318603,948,1951
1629322204,963,1243
1629325804,854,1282
1629329403,477,1845
1629333003,998,1990
1629336603,843,1830
1629340203,482,1802
1629343803,1312,1961
1629347403,828,2736
1629351003,1141,2444
1629354603,1517,1270
1629358203,846,1360
1629361803,1814,962
1629365403,1896,974
1629369003,1441,882
1629372605,1081,570
1629376204,1457,873
1629379804,1113,1012
1629383404,1670,581
1629387004,1689,1089
1629390604,1552,1934
1629394204,1391,1911
1629397804,1735,1881
1629401405,1861,1739
1629405004,962,1278
1629408604,1683,1511
1629412204,3439,1691
1629415804,2030,1322
1629419404,917,1578
1629423005,868,1738
1629426604,605,1304
1629430204,1022,1143
1629433804,627,1159
1629437404,717,2278
1629441004,1118,1820
1629444603,1320,1305
1629448204,1538,1660
