DateTime,AddedIPs,RemovedIPs
1630227149,2,0
1630227749,0,14
1630228350,3,17
1630228949,0,10
1630229550,2,0
1630230749,2,1
1630231349,4,6
1630232548,2,0
1630233148,3,3
1630233748,1,0
1630234348,0,1
1630234950,1,2
1630236148,1,1
1630236749,1,2
1630237949,4,0
1630239148,2,2
1630239748,1,0
1630240348,0,7
1630242148,8,2
1630243348,1,0
1630243949,0,2
1630244548,1,0
1630245148,2,0
1630245748,2,0
1630246948,1,1
1630247548,1,6
1630248748,3,3
1630249947,10,5
1630250546,3,1
1630251148,4,2
1630251747,1,0
1630252346,2,4
1630252948,3,1
1630254147,2,0
1630255346,4,6
1630256546,1,4
1630257147,1,0
1630257747,5,3
1630258347,9,3
1630258946,1,3
1630259545,7,0
1630260145,7,0
1630260746,0,1
1630261346,2,0
1630261947,2,0
1630262548,5,0
1630263147,5,3
1630274547,15,84
1630275147,4,0
1630275747,5,0
1630276348,0,10
1630276947,15,0
1630277548,7,10
1630278148,1,0
1630279348,17,5
1630279948,4,0
1630280548,6,0
1630281148,2,1
1630281749,20,0
1630282349,14,5
1630282947,1,0
1630284148,8,12
1630284748,7,0
1630285349,9,1
1630286548,11,15
1630287150,7,0
1630287748,10,10
1630288347,1,15
1630288947,2,5
1630289547,0,4
1630290147,5,0
1630290747,4,8
1630291947,6,8
1630292550,1,3
1630293746,3,0
1630294345,6,1
1630294946,0,9
1630295546,1,0
1630296747,4,4
1630297348,83,0
1630297948,1,0
1630299149,3,6
1630300348,5,0
1630300948,2,0
1630301549,6,13
1630302148,4,6
1630303347,1,6
1630303949,1,0
1630304548,2,0
1630305148,4,6
1630306949,2,2
1630307548,3,6
1630308149,3,2
1630308749,0,13
1630310550,10,0
1630311148,1,2
1630311749,0,3
1630312351,2,0
1630312948,1,0
1630314150,0,4
1630314747,4,0
1630315348,7,4
1630315948,3,0
1630317147,7,5
1630317748,2,2
1630318347,5,0
1630319547,5,0
1630320147,4,4
1630320745,1,6
1630321947,0,1
1630323150,0,2
1630323748,1,0
1630324347,1,1
1630324949,0,2
1630325548,1,0
1630326148,1,3
1630327348,4,0
1630327949,3,4
1630328549,5,1
1630329749,1,5
1630330350,1,0
1630330949,3,2
1630332148,0,7
1630332749,3,2
1630333349,2,0
1630334549,9,2
1630335148,26,4
1630335749,1,0
1630336949,6,5
1630337549,3,0
1630338149,1,9
1630338747,4,0
1630339348,9,5
1630340548,9,6
1630341150,3,0
1630342348,9,5
1630343549,3,9
1630344150,2,0
1630345349,7,0
1630345949,0,7
1630347149,5,7
1630347749,2,6
1630348348,1,10
1630348948,2,4
1630349548,7,17
1630350148,3,0
1630351349,3,0
1630352549,6,0
1630353150,6,0
1630353750,4,0
1630354948,1,0
1630355548,4,0
1630356147,6,0
1630356747,2,0
1630357947,3,0
1630359146,6,0
1630359748,4,0
1630360945,1,3
1630361546,1,0
1630362147,4,7
1630362748,1,0
1630363348,0,12
1630364548,9,0
1630365748,1,25
1630366349,4,11
1630366948,1,6
1630367548,3,17
1630368148,7,14
1630368748,6,0
1630369948,10,14
1630370548,5,0
1630371148,1,17
1630372348,7,17
1630373549,10,7
1630374147,1,0
1630374748,5,15
1630375348,2,0
1630375948,0,5
1630376547,2,9
1630377749,8,0
1630378350,7,4
1630379549,1,2
1630380148,2,9
1630380748,1,0
1630381947,1,8
1630382548,3,0
1630383148,2,0
1630383748,3,25
1630384949,7,65
1630385552,2,0
1630386749,8,7
1630387348,1,2
1630388550,2,8
1630389149,3,0
1630389751,4,8
1630392149,5,10
1630393349,2,14
1630393949,5,1
1630394548,3,0
1630396948,1,6
1630397548,2,3
1630398747,1,2
1630399947,2,3
1630400547,2,0
1630401748,2,9
1630402348,1,0
1630402949,4,5
1630403550,1,0
1630404149,1,7
1630404750,1,11
1630405350,3,0
1630405950,5,1
1630406549,2,0
1630407149,2,0
1630408349,1,1
1630408948,1,3
1630409550,2,10
1630411346,7,0
1630411946,1,4
1630413146,3,7
1630414345,1,3
1630426945,13,106
1630428144,7,0
1630428745,1,6
1630429346,1,0
1630429944,0,6
1630430543,2,0
1630431143,3,1
1630431743,4,5
1630432943,0,7
1630433543,1,6
1630434142,2,5
1630434742,2,2
1630435344,2,0
1630436543,9,8
1630437143,3,0
1630437742,1,0
1630438342,10,12
1630438943,2,0
1630439542,15,7
1630440144,8,11
1630440744,2,9
1630441345,5,0
1630441945,5,3
1630442545,5,12
1630443746,13,3
1630444346,8,5
1630444947,2,0
1630445547,1,3
1630446747,10,0
1630447347,0,7
1630447947,11,8
1630448549,10,4
1630449147,6,5
1630450348,22,0
1630450947,1,6
1630451547,2,0
1630452146,10,0
1630452746,6,11
1630454547,12,3
1630455147,8,4
1630456347,2,16
1630456947,11,0
1630458148,18,19
1630458747,3,7
1630459348,4,0
1630459947,2,2
1630460546,8,5
1630461150,2,0
1630461747,0,13
1630462946,5,7
1630463547,4,3
1630464146,3,4
1630464747,3,2
1630465347,0,12
1630465947,1,7
1630466547,2,0
1630467147,4,4
1630467748,2,0
1630468946,1,2
1630469547,1,1
1630470746,4,10
1630471347,0,6
1630472547,12,10
1630473148,1,0
1630473748,5,4
1630474348,7,12
1630474951,4,0
1630475548,10,7
1630476148,7,13
1630476748,5,0
1630477347,1,0
1630477946,7,0
1630479748,11,3
1630480347,4,4
1630480948,1,1
1630481547,1,0
1630483347,8,6
1630483947,3,2
1630484547,1,0
1630485148,1,2
1630485748,4,6
1630486347,4,0
1630486948,2,11
1630488148,1,1
1630489347,9,5
1630489948,9,0
1630490547,7,11
1630491148,8,0
1630491748,6,11
1630492347,9,0
1630493547,3,10
1630494146,4,0
1630494745,6,0
1630495346,6,7
1630496546,17,0
1630497748,8,3
1630498346,4,4
1630498946,9,5
1630500146,7,5
1630500747,7,0
1630501346,2,14
1630503147,8,0
1630503747,3,0
1630504346,2,0
1630504947,8,0
1630505547,10,0
1630506146,2,0
1630506746,4,0
1630507346,1,0
1630507946,7,0
1630508546,1,0
1630509146,6,0
1630509746,4,0
1630510347,1,0
1630510946,2,0
1630511546,8,0
1630512147,4,0
1630513346,1,2
1630514546,4,0
1630515745,3,3
1630516945,5,3
1630517546,3,0
1630518146,3,4
1630518746,1,0
1630519347,10,1
1630519946,3,2
1630521747,10,5
1630522346,4,0
1630522945,4,0
1630523546,2,2
1630524746,76,3
1630525346,1,7
1630525947,7,0
1630527745,15,15
1630528346,2,6
1630529546,8,7
1630530146,5,0
1630531343,5,6
1630531944,7,4
1630533142,1,1
1630533742,2,0
1630534342,0,9
1630534943,3,0
1630535543,5,4
1630536144,5,5
1630536746,2,5
1630538546,12,4
1630539146,1,4
1630539747,4,0
1630540347,3,10
1630540947,1,0
1630541546,1,6
1630542747,6,0
1630543947,12,11
1630544547,7,0
1630545147,0,3
1630545749,7,7
1630546347,7,2
1630546946,11,0
1630547545,0,3
1630548146,1,1
1630548746,2,7
1630549347,1,3
1630549948,3,0
1630550546,8,1
1630551146,0,2
1630551745,3,0
1630552947,2,2
1630553546,0,3
1630554147,1,0
1630554746,1,2
1630555946,2,6
1630557146,9,0
1630557746,5,0
1630558346,4,0
1630558947,5,4
1630559546,0,8
1630560146,3,0
1630560747,8,1
1630561947,6,6
1630563146,8,2
1630563747,2,4
1630564347,4,0
1630564947,2,5
1630566147,4,1
1630566746,0,1
1630567947,5,0
1630568547,1,10
1630570348,8,1
1630571547,1,0
1630572147,4,1
1630572748,1,1
1630573947,6,0
1630574548,0,2
1630575147,0,6
1630576347,10,1
1630576946,6,2
1630577547,1,1
1630578147,0,6
1630579346,9,1
1630580550,1,2
1630581146,0,7
1630581746,7,0
1630582346,5,0
1630582945,1,10
1630583544,1,13
1630584745,7,3
1630585344,0,6
1630585944,2,0
1630586543,5,0
1630587743,5,10
1630588944,6,1
1630589545,2,0
1630590745,1,2
1630592544,3,8
1630593146,2,0
1630594346,9,12
1630595546,7,3
1630606345,4,54
1630608144,6,8
1630608745,4,6
1630609945,3,0
1630611145,10,4
1630611745,6,25
1630612346,0,58
1630612945,1,0
1630614144,4,3
1630615344,2,8
1630616543,6,6
1630617743,6,0
1630618344,3,5
1630619544,1,3
1630620745,6,8
1630621346,3,3
1630622545,5,3
1630623145,0,9
1630625545,11,8
1630626145,1,4
1630626745,2,1
1630627346,3,0
1630627946,2,3
1630628546,1,0
1630629146,4,13
1630629746,5,0
1630630345,4,0
1630631545,5,10
1630632745,5,9
1630633344,1,8
1630634545,12,14
1630635745,9,2
1630636944,4,2
1630638144,9,4
1630639343,0,5
1630639943,0,4
1630641742,2,3
1630642941,7,7
1630643541,2,0
1630644141,2,8
1630645342,3,5
1630646541,5,9
1630647142,0,13
1630648942,1,10
1630649541,0,5
1630650741,1,8
1630651340,0,2
1630651940,0,7
1630653738,4,9
1630654938,2,2
1630656138,0,9
1630656739,8,1
1630657941,4,0
1630658541,0,4
1630659142,1,3
1630659743,5,6
1630660344,3,5
1630661544,2,3
1630662143,2,10
1630662744,1,0
1630663344,0,12
